forecast_date,target,target_end_date,location,type,quantile,value
2021-07-19,1 wk ahead inc case,2021-07-24,AT,point,NA,3273
2021-07-19,2 wk ahead inc case,2021-07-31,AT,point,NA,6275
2021-07-19,3 wk ahead inc case,2021-08-07,AT,point,NA,12359
2021-07-19,4 wk ahead inc case,2021-08-14,AT,point,NA,24868
2021-07-19,1 wk ahead inc case,2021-07-24,BE,point,NA,10417
2021-07-19,2 wk ahead inc case,2021-07-31,BE,point,NA,13473
2021-07-19,3 wk ahead inc case,2021-08-07,BE,point,NA,16946
2021-07-19,4 wk ahead inc case,2021-08-14,BE,point,NA,21233
2021-07-19,1 wk ahead inc case,2021-07-24,BG,point,NA,485
2021-07-19,2 wk ahead inc case,2021-07-31,BG,point,NA,530
2021-07-19,3 wk ahead inc case,2021-08-07,BG,point,NA,593
2021-07-19,4 wk ahead inc case,2021-08-14,BG,point,NA,668
2021-07-19,1 wk ahead inc case,2021-07-24,CH,point,NA,4265
2021-07-19,2 wk ahead inc case,2021-07-31,CH,point,NA,8019
2021-07-19,3 wk ahead inc case,2021-08-07,CH,point,NA,14547
2021-07-19,4 wk ahead inc case,2021-08-14,CH,point,NA,17456
2021-07-19,1 wk ahead inc case,2021-07-24,CY,point,NA,8198
2021-07-19,2 wk ahead inc case,2021-07-31,CY,point,NA,9910
2021-07-19,3 wk ahead inc case,2021-08-07,CY,point,NA,13263
2021-07-19,4 wk ahead inc case,2021-08-14,CY,point,NA,20320
2021-07-19,1 wk ahead inc case,2021-07-24,CZ,point,NA,1791
2021-07-19,2 wk ahead inc case,2021-07-31,CZ,point,NA,2132
2021-07-19,3 wk ahead inc case,2021-08-07,CZ,point,NA,2626
2021-07-19,4 wk ahead inc case,2021-08-14,CZ,point,NA,3376
2021-07-19,1 wk ahead inc case,2021-07-24,DE,point,NA,10834
2021-07-19,2 wk ahead inc case,2021-07-31,DE,point,NA,14245
2021-07-19,3 wk ahead inc case,2021-08-07,DE,point,NA,18936
2021-07-19,4 wk ahead inc case,2021-08-14,DE,point,NA,25822
2021-07-19,1 wk ahead inc case,2021-07-24,DK,point,NA,8966
2021-07-19,2 wk ahead inc case,2021-07-31,DK,point,NA,12846
2021-07-19,3 wk ahead inc case,2021-08-07,DK,point,NA,17322
2021-07-19,4 wk ahead inc case,2021-08-14,DK,point,NA,21624
2021-07-19,1 wk ahead inc case,2021-07-24,EE,point,NA,392
2021-07-19,2 wk ahead inc case,2021-07-31,EE,point,NA,470
2021-07-19,3 wk ahead inc case,2021-08-07,EE,point,NA,562
2021-07-19,4 wk ahead inc case,2021-08-14,EE,point,NA,673
2021-07-19,1 wk ahead inc case,2021-07-24,ES,point,NA,240114
2021-07-19,2 wk ahead inc case,2021-07-31,ES,point,NA,349376
2021-07-19,3 wk ahead inc case,2021-08-07,ES,point,NA,497812
2021-07-19,4 wk ahead inc case,2021-08-14,ES,point,NA,736033
2021-07-19,1 wk ahead inc case,2021-07-24,FI,point,NA,2383
2021-07-19,2 wk ahead inc case,2021-07-31,FI,point,NA,2732
2021-07-19,3 wk ahead inc case,2021-08-07,FI,point,NA,3079
2021-07-19,4 wk ahead inc case,2021-08-14,FI,point,NA,3418
2021-07-19,1 wk ahead inc case,2021-07-24,FR,point,NA,76560
2021-07-19,2 wk ahead inc case,2021-07-31,FR,point,NA,129876
2021-07-19,3 wk ahead inc case,2021-08-07,FR,point,NA,219741
2021-07-19,4 wk ahead inc case,2021-08-14,FR,point,NA,368981
2021-07-19,1 wk ahead inc case,2021-07-24,GB,point,NA,383459
2021-07-19,2 wk ahead inc case,2021-07-31,GB,point,NA,477811
2021-07-19,3 wk ahead inc case,2021-08-07,GB,point,NA,563239
2021-07-19,4 wk ahead inc case,2021-08-14,GB,point,NA,625737
2021-07-19,1 wk ahead inc case,2021-07-24,GR,point,NA,25263
2021-07-19,2 wk ahead inc case,2021-07-31,GR,point,NA,36540
2021-07-19,3 wk ahead inc case,2021-08-07,GR,point,NA,54289
2021-07-19,4 wk ahead inc case,2021-08-14,GR,point,NA,82054
2021-07-19,1 wk ahead inc case,2021-07-24,HR,point,NA,845
2021-07-19,2 wk ahead inc case,2021-07-31,HR,point,NA,1016
2021-07-19,3 wk ahead inc case,2021-08-07,HR,point,NA,1221
2021-07-19,4 wk ahead inc case,2021-08-14,HR,point,NA,1439
2021-07-19,1 wk ahead inc case,2021-07-24,HU,point,NA,197
2021-07-19,2 wk ahead inc case,2021-07-31,HU,point,NA,183
2021-07-19,3 wk ahead inc case,2021-08-07,HU,point,NA,172
2021-07-19,4 wk ahead inc case,2021-08-14,HU,point,NA,165
2021-07-19,1 wk ahead inc case,2021-07-24,IE,point,NA,8878
2021-07-19,2 wk ahead inc case,2021-07-31,IE,point,NA,12584
2021-07-19,3 wk ahead inc case,2021-08-07,IE,point,NA,17293
2021-07-19,4 wk ahead inc case,2021-08-14,IE,point,NA,23038
2021-07-19,1 wk ahead inc case,2021-07-24,IS,point,NA,0
2021-07-19,2 wk ahead inc case,2021-07-31,IS,point,NA,0
2021-07-19,3 wk ahead inc case,2021-08-07,IS,point,NA,0
2021-07-19,4 wk ahead inc case,2021-08-14,IS,point,NA,0
2021-07-19,1 wk ahead inc case,2021-07-24,IT,point,NA,26286
2021-07-19,2 wk ahead inc case,2021-07-31,IT,point,NA,47123
2021-07-19,3 wk ahead inc case,2021-08-07,IT,point,NA,82938
2021-07-19,4 wk ahead inc case,2021-08-14,IT,point,NA,149688
2021-07-19,1 wk ahead inc case,2021-07-24,LI,point,NA,6
2021-07-19,2 wk ahead inc case,2021-07-31,LI,point,NA,5
2021-07-19,3 wk ahead inc case,2021-08-07,LI,point,NA,5
2021-07-19,4 wk ahead inc case,2021-08-14,LI,point,NA,4
2021-07-19,1 wk ahead inc case,2021-07-24,LT,point,NA,636
2021-07-19,2 wk ahead inc case,2021-07-31,LT,point,NA,785
2021-07-19,3 wk ahead inc case,2021-08-07,LT,point,NA,928
2021-07-19,4 wk ahead inc case,2021-08-14,LT,point,NA,1130
2021-07-19,1 wk ahead inc case,2021-07-24,LU,point,NA,747
2021-07-19,2 wk ahead inc case,2021-07-31,LU,point,NA,738
2021-07-19,3 wk ahead inc case,2021-08-07,LU,point,NA,748
2021-07-19,4 wk ahead inc case,2021-08-14,LU,point,NA,780
2021-07-19,1 wk ahead inc case,2021-07-24,LV,point,NA,195
2021-07-19,2 wk ahead inc case,2021-07-31,LV,point,NA,160
2021-07-19,3 wk ahead inc case,2021-08-07,LV,point,NA,140
2021-07-19,4 wk ahead inc case,2021-08-14,LV,point,NA,130
2021-07-19,1 wk ahead inc case,2021-07-24,MT,point,NA,2066
2021-07-19,2 wk ahead inc case,2021-07-31,MT,point,NA,2744
2021-07-19,3 wk ahead inc case,2021-08-07,MT,point,NA,3093
2021-07-19,4 wk ahead inc case,2021-08-14,MT,point,NA,3288
2021-07-19,1 wk ahead inc case,2021-07-24,NL,point,NA,93276
2021-07-19,2 wk ahead inc case,2021-07-31,NL,point,NA,128634
2021-07-19,3 wk ahead inc case,2021-08-07,NL,point,NA,131334
2021-07-19,4 wk ahead inc case,2021-08-14,NL,point,NA,119024
2021-07-19,1 wk ahead inc case,2021-07-24,NO,point,NA,1075
2021-07-19,2 wk ahead inc case,2021-07-31,NO,point,NA,1002
2021-07-19,3 wk ahead inc case,2021-08-07,NO,point,NA,930
2021-07-19,4 wk ahead inc case,2021-08-14,NO,point,NA,861
2021-07-19,1 wk ahead inc case,2021-07-24,PL,point,NA,616
2021-07-19,2 wk ahead inc case,2021-07-31,PL,point,NA,703
2021-07-19,3 wk ahead inc case,2021-08-07,PL,point,NA,791
2021-07-19,4 wk ahead inc case,2021-08-14,PL,point,NA,865
2021-07-19,1 wk ahead inc case,2021-07-24,PT,point,NA,26566
2021-07-19,2 wk ahead inc case,2021-07-31,PT,point,NA,30356
2021-07-19,3 wk ahead inc case,2021-08-07,PT,point,NA,33291
2021-07-19,4 wk ahead inc case,2021-08-14,PT,point,NA,35351
2021-07-19,1 wk ahead inc case,2021-07-24,RO,point,NA,392
2021-07-19,2 wk ahead inc case,2021-07-31,RO,point,NA,458
2021-07-19,3 wk ahead inc case,2021-08-07,RO,point,NA,522
2021-07-19,4 wk ahead inc case,2021-08-14,RO,point,NA,591
2021-07-19,1 wk ahead inc case,2021-07-24,SE,point,NA,1500
2021-07-19,2 wk ahead inc case,2021-07-31,SE,point,NA,1324
2021-07-19,3 wk ahead inc case,2021-08-07,SE,point,NA,1135
2021-07-19,4 wk ahead inc case,2021-08-14,SE,point,NA,958
