forecast_date,target,target_end_date,location,type,quantile,value
2021-07-19,1 wk ahead inc case,2021-07-24,AT,point,NA,3287
2021-07-19,2 wk ahead inc case,2021-07-31,AT,point,NA,4776
2021-07-19,3 wk ahead inc case,2021-08-07,AT,point,NA,6055
2021-07-19,4 wk ahead inc case,2021-08-14,AT,point,NA,7606
2021-07-19,1 wk ahead inc case,2021-07-24,BE,point,NA,11051
2021-07-19,2 wk ahead inc case,2021-07-31,BE,point,NA,12660
2021-07-19,3 wk ahead inc case,2021-08-07,BE,point,NA,14114
2021-07-19,4 wk ahead inc case,2021-08-14,BE,point,NA,15011
2021-07-19,1 wk ahead inc case,2021-07-24,BG,point,NA,514
2021-07-19,2 wk ahead inc case,2021-07-31,BG,point,NA,565
2021-07-19,3 wk ahead inc case,2021-08-07,BG,point,NA,614
2021-07-19,4 wk ahead inc case,2021-08-14,BG,point,NA,665
2021-07-19,1 wk ahead inc case,2021-07-24,CH,point,NA,3314
2021-07-19,2 wk ahead inc case,2021-07-31,CH,point,NA,4310
2021-07-19,3 wk ahead inc case,2021-08-07,CH,point,NA,5548
2021-07-19,4 wk ahead inc case,2021-08-14,CH,point,NA,7127
2021-07-19,1 wk ahead inc case,2021-07-24,CY,point,NA,7504
2021-07-19,2 wk ahead inc case,2021-07-31,CY,point,NA,7062
2021-07-19,3 wk ahead inc case,2021-08-07,CY,point,NA,6930
2021-07-19,4 wk ahead inc case,2021-08-14,CY,point,NA,7049
2021-07-19,1 wk ahead inc case,2021-07-24,CZ,point,NA,1725
2021-07-19,2 wk ahead inc case,2021-07-31,CZ,point,NA,1993
2021-07-19,3 wk ahead inc case,2021-08-07,CZ,point,NA,2241
2021-07-19,4 wk ahead inc case,2021-08-14,CZ,point,NA,2361
2021-07-19,1 wk ahead inc case,2021-07-24,DE,point,NA,11385
2021-07-19,2 wk ahead inc case,2021-07-31,DE,point,NA,14993
2021-07-19,3 wk ahead inc case,2021-08-07,DE,point,NA,19633
2021-07-19,4 wk ahead inc case,2021-08-14,DE,point,NA,23300
2021-07-19,1 wk ahead inc case,2021-07-24,DK,point,NA,9476
