forecast_date,target,target_end_date,location,type,quantile,value
2021-09-06,1 wk ahead inc case,2021-09-11,AT,point,NA,12492
2021-09-06,2 wk ahead inc case,2021-09-18,AT,point,NA,14203
2021-09-06,3 wk ahead inc case,2021-09-25,AT,point,NA,15837
2021-09-06,4 wk ahead inc case,2021-10-02,AT,point,NA,17488
2021-09-06,1 wk ahead inc case,2021-09-11,BE,point,NA,13059
2021-09-06,2 wk ahead inc case,2021-09-18,BE,point,NA,13116
2021-09-06,3 wk ahead inc case,2021-09-25,BE,point,NA,13079
2021-09-06,4 wk ahead inc case,2021-10-02,BE,point,NA,12952
2021-09-06,1 wk ahead inc case,2021-09-11,BG,point,NA,10952
2021-09-06,2 wk ahead inc case,2021-09-18,BG,point,NA,11428
2021-09-06,3 wk ahead inc case,2021-09-25,BG,point,NA,12170
2021-09-06,4 wk ahead inc case,2021-10-02,BG,point,NA,13166
2021-09-06,1 wk ahead inc case,2021-09-11,CH,point,NA,15561
2021-09-06,2 wk ahead inc case,2021-09-18,CH,point,NA,15193
2021-09-06,3 wk ahead inc case,2021-09-25,CH,point,NA,14738
2021-09-06,4 wk ahead inc case,2021-10-02,CH,point,NA,14179
2021-09-06,1 wk ahead inc case,2021-09-11,CY,point,NA,1367
2021-09-06,2 wk ahead inc case,2021-09-18,CY,point,NA,1237
2021-09-06,3 wk ahead inc case,2021-09-25,CY,point,NA,1179
2021-09-06,4 wk ahead inc case,2021-10-02,CY,point,NA,1160
2021-09-06,1 wk ahead inc case,2021-09-11,CZ,point,NA,1745
2021-09-06,2 wk ahead inc case,2021-09-18,CZ,point,NA,1996
2021-09-06,3 wk ahead inc case,2021-09-25,CZ,point,NA,2292
2021-09-06,4 wk ahead inc case,2021-10-02,CZ,point,NA,2660
2021-09-06,1 wk ahead inc case,2021-09-11,DE,point,NA,86265
2021-09-06,2 wk ahead inc case,2021-09-18,DE,point,NA,99916
2021-09-06,3 wk ahead inc case,2021-09-25,DE,point,NA,112108
2021-09-06,4 wk ahead inc case,2021-10-02,DE,point,NA,125729
2021-09-06,1 wk ahead inc case,2021-09-11,DK,point,NA,4377
2021-09-06,2 wk ahead inc case,2021-09-18,DK,point,NA,3778
2021-09-06,3 wk ahead inc case,2021-09-25,DK,point,NA,3434
2021-09-06,4 wk ahead inc case,2021-10-02,DK,point,NA,3253
2021-09-06,1 wk ahead inc case,2021-09-11,EE,point,NA,2780
2021-09-06,2 wk ahead inc case,2021-09-18,EE,point,NA,3003
2021-09-06,3 wk ahead inc case,2021-09-25,EE,point,NA,3231
