forecast_date,target,target_end_date,location,type,quantile,value
2021-04-12,1 wk ahead inc case,2021-04-17,AT,point,NA,17627
2021-04-12,2 wk ahead inc case,2021-04-24,AT,point,NA,15488
2021-04-12,3 wk ahead inc case,2021-05-01,AT,point,NA,14118
2021-04-12,4 wk ahead inc case,2021-05-08,AT,point,NA,13273
2021-04-12,1 wk ahead inc case,2021-04-17,BE,point,NA,25146
2021-04-12,2 wk ahead inc case,2021-04-24,BE,point,NA,23261
2021-04-12,3 wk ahead inc case,2021-05-01,BE,point,NA,22162
2021-04-12,4 wk ahead inc case,2021-05-08,BE,point,NA,20802
2021-04-12,1 wk ahead inc case,2021-04-17,BG,point,NA,17151
2021-04-12,2 wk ahead inc case,2021-04-24,BG,point,NA,14709
2021-04-12,3 wk ahead inc case,2021-05-01,BG,point,NA,13001
2021-04-12,4 wk ahead inc case,2021-05-08,BG,point,NA,11899
2021-04-12,1 wk ahead inc case,2021-04-17,CH,point,NA,14477
2021-04-12,2 wk ahead inc case,2021-04-24,CH,point,NA,11752
2021-04-12,3 wk ahead inc case,2021-05-01,CH,point,NA,11549
2021-04-12,4 wk ahead inc case,2021-05-08,CH,point,NA,10896
2021-04-12,1 wk ahead inc case,2021-04-17,CY,point,NA,4051
2021-04-12,2 wk ahead inc case,2021-04-24,CY,point,NA,4498
2021-04-12,3 wk ahead inc case,2021-05-01,CY,point,NA,4700
2021-04-12,4 wk ahead inc case,2021-05-08,CY,point,NA,4708
2021-04-12,1 wk ahead inc case,2021-04-17,CZ,point,NA,23608
2021-04-12,2 wk ahead inc case,2021-04-24,CZ,point,NA,19373
2021-04-12,3 wk ahead inc case,2021-05-01,CZ,point,NA,14511
2021-04-12,4 wk ahead inc case,2021-05-08,CZ,point,NA,12196
2021-04-12,1 wk ahead inc case,2021-04-17,DE,point,NA,124483
2021-04-12,2 wk ahead inc case,2021-04-24,DE,point,NA,120729
2021-04-12,3 wk ahead inc case,2021-05-01,DE,point,NA,119689
2021-04-12,4 wk ahead inc case,2021-05-08,DE,point,NA,118971
2021-04-12,1 wk ahead inc case,2021-04-17,DK,point,NA,4523
2021-04-12,2 wk ahead inc case,2021-04-24,DK,point,NA,4287
2021-04-12,3 wk ahead inc case,2021-05-01,DK,point,NA,4110
2021-04-12,4 wk ahead inc case,2021-05-08,DK,point,NA,3918
2021-04-12,1 wk ahead inc case,2021-04-17,EE,point,NA,3851
2021-04-12,2 wk ahead inc case,2021-04-24,EE,point,NA,2885
2021-04-12,3 wk ahead inc case,2021-05-01,EE,point,NA,2219
2021-04-12,4 wk ahead inc case,2021-05-08,EE,point,NA,1838
2021-04-12,1 wk ahead inc case,2021-04-17,ES,point,NA,51775
2021-04-12,2 wk ahead inc case,2021-04-24,ES,point,NA,60419
2021-04-12,3 wk ahead inc case,2021-05-01,ES,point,NA,54364
2021-04-12,4 wk ahead inc case,2021-05-08,ES,point,NA,68681
2021-04-12,1 wk ahead inc case,2021-04-17,FI,point,NA,2429
2021-04-12,2 wk ahead inc case,2021-04-24,FI,point,NA,2039
2021-04-12,3 wk ahead inc case,2021-05-01,FI,point,NA,1796
2021-04-12,4 wk ahead inc case,2021-05-08,FI,point,NA,1518
2021-04-12,1 wk ahead inc case,2021-04-17,FR,point,NA,222766
2021-04-12,2 wk ahead inc case,2021-04-24,FR,point,NA,227553
2021-04-12,3 wk ahead inc case,2021-05-01,FR,point,NA,230045
2021-04-12,4 wk ahead inc case,2021-05-08,FR,point,NA,231136
2021-04-12,1 wk ahead inc case,2021-04-17,GB,point,NA,12015
2021-04-12,2 wk ahead inc case,2021-04-24,GB,point,NA,9194
2021-04-12,3 wk ahead inc case,2021-05-01,GB,point,NA,7493
2021-04-12,4 wk ahead inc case,2021-05-08,GB,point,NA,5755
2021-04-12,1 wk ahead inc case,2021-04-17,GR,point,NA,20968
2021-04-12,2 wk ahead inc case,2021-04-24,GR,point,NA,20763
2021-04-12,3 wk ahead inc case,2021-05-01,GR,point,NA,20345
2021-04-12,4 wk ahead inc case,2021-05-08,GR,point,NA,19918
2021-04-12,1 wk ahead inc case,2021-04-17,HR,point,NA,13913
2021-04-12,2 wk ahead inc case,2021-04-24,HR,point,NA,14458
2021-04-12,3 wk ahead inc case,2021-05-01,HR,point,NA,15069
2021-04-12,4 wk ahead inc case,2021-05-08,HR,point,NA,15531
2021-04-12,1 wk ahead inc case,2021-04-17,HU,point,NA,32576
2021-04-12,2 wk ahead inc case,2021-04-24,HU,point,NA,25638
2021-04-12,3 wk ahead inc case,2021-05-01,HU,point,NA,21855
2021-04-12,4 wk ahead inc case,2021-05-08,HU,point,NA,21594
2021-04-12,1 wk ahead inc case,2021-04-17,IE,point,NA,2842
2021-04-12,2 wk ahead inc case,2021-04-24,IE,point,NA,2483
2021-04-12,3 wk ahead inc case,2021-05-01,IE,point,NA,2233
2021-04-12,4 wk ahead inc case,2021-05-08,IE,point,NA,2041
2021-04-12,1 wk ahead inc case,2021-04-17,IS,point,NA,36
2021-04-12,2 wk ahead inc case,2021-04-24,IS,point,NA,30
2021-04-12,3 wk ahead inc case,2021-05-01,IS,point,NA,28
2021-04-12,4 wk ahead inc case,2021-05-08,IS,point,NA,28
2021-04-12,1 wk ahead inc case,2021-04-17,IT,point,NA,99104
2021-04-12,2 wk ahead inc case,2021-04-24,IT,point,NA,85307
2021-04-12,3 wk ahead inc case,2021-05-01,IT,point,NA,71757
2021-04-12,4 wk ahead inc case,2021-05-08,IT,point,NA,63853
2021-04-12,1 wk ahead inc case,2021-04-17,LI,point,NA,68
2021-04-12,2 wk ahead inc case,2021-04-24,LI,point,NA,86
2021-04-12,3 wk ahead inc case,2021-05-01,LI,point,NA,109
2021-04-12,4 wk ahead inc case,2021-05-08,LI,point,NA,132
2021-04-12,1 wk ahead inc case,2021-04-17,LT,point,NA,7789
2021-04-12,2 wk ahead inc case,2021-04-24,LT,point,NA,8522
2021-04-12,3 wk ahead inc case,2021-05-01,LT,point,NA,9594
2021-04-12,4 wk ahead inc case,2021-05-08,LT,point,NA,11030
