forecast_date,target,target_end_date,location,type,quantile,value
2021-06-28,1 wk ahead inc case,2021-07-03,AT,point,NA,531
2021-06-28,2 wk ahead inc case,2021-07-10,AT,point,NA,396
2021-06-28,3 wk ahead inc case,2021-07-17,AT,point,NA,309
2021-06-28,4 wk ahead inc case,2021-07-24,AT,point,NA,262
2021-06-28,1 wk ahead inc case,2021-07-03,BE,point,NA,2313
2021-06-28,2 wk ahead inc case,2021-07-10,BE,point,NA,2726
2021-06-28,3 wk ahead inc case,2021-07-17,BE,point,NA,2782
2021-06-28,4 wk ahead inc case,2021-07-24,BE,point,NA,2844
2021-06-28,1 wk ahead inc case,2021-07-03,BG,point,NA,369
2021-06-28,2 wk ahead inc case,2021-07-10,BG,point,NA,280
2021-06-28,3 wk ahead inc case,2021-07-17,BG,point,NA,220
2021-06-28,4 wk ahead inc case,2021-07-24,BG,point,NA,188
2021-06-28,1 wk ahead inc case,2021-07-03,CH,point,NA,665
2021-06-28,2 wk ahead inc case,2021-07-10,CH,point,NA,435
2021-06-28,3 wk ahead inc case,2021-07-17,CH,point,NA,297
2021-06-28,4 wk ahead inc case,2021-07-24,CH,point,NA,214
2021-06-28,1 wk ahead inc case,2021-07-03,CY,point,NA,1902
2021-06-28,2 wk ahead inc case,2021-07-10,CY,point,NA,3147
2021-06-28,3 wk ahead inc case,2021-07-17,CY,point,NA,2657
2021-06-28,4 wk ahead inc case,2021-07-24,CY,point,NA,1862
2021-06-28,1 wk ahead inc case,2021-07-03,CZ,point,NA,607
2021-06-28,2 wk ahead inc case,2021-07-10,CZ,point,NA,506
2021-06-28,3 wk ahead inc case,2021-07-17,CZ,point,NA,454
2021-06-28,4 wk ahead inc case,2021-07-24,CZ,point,NA,429
2021-06-28,1 wk ahead inc case,2021-07-03,DE,point,NA,2781
2021-06-28,2 wk ahead inc case,2021-07-10,DE,point,NA,1637
2021-06-28,3 wk ahead inc case,2021-07-17,DE,point,NA,1260
2021-06-28,4 wk ahead inc case,2021-07-24,DE,point,NA,1036
2021-06-28,1 wk ahead inc case,2021-07-03,EE,point,NA,117
2021-06-28,2 wk ahead inc case,2021-07-10,EE,point,NA,67
2021-06-28,3 wk ahead inc case,2021-07-17,EE,point,NA,43
2021-06-28,4 wk ahead inc case,2021-07-24,EE,point,NA,31
2021-06-28,1 wk ahead inc case,2021-07-03,FI,point,NA,471
2021-06-28,2 wk ahead inc case,2021-07-10,FI,point,NA,461
2021-06-28,3 wk ahead inc case,2021-07-17,FI,point,NA,518
2021-06-28,4 wk ahead inc case,2021-07-24,FI,point,NA,578
2021-06-28,1 wk ahead inc case,2021-07-03,FR,point,NA,7334
2021-06-28,2 wk ahead inc case,2021-07-10,FR,point,NA,4379
2021-06-28,3 wk ahead inc case,2021-07-17,FR,point,NA,2883
2021-06-28,4 wk ahead inc case,2021-07-24,FR,point,NA,2109
2021-06-28,1 wk ahead inc case,2021-07-03,GB,point,NA,127866
2021-06-28,2 wk ahead inc case,2021-07-10,GB,point,NA,170084
2021-06-28,3 wk ahead inc case,2021-07-17,GB,point,NA,215373
2021-06-28,4 wk ahead inc case,2021-07-24,GB,point,NA,263923
2021-06-28,1 wk ahead inc case,2021-07-03,GR,point,NA,2140
2021-06-28,2 wk ahead inc case,2021-07-10,GR,point,NA,1814
2021-06-28,3 wk ahead inc case,2021-07-17,GR,point,NA,1722
2021-06-28,4 wk ahead inc case,2021-07-24,GR,point,NA,1757
2021-06-28,1 wk ahead inc case,2021-07-03,HR,point,NA,267
2021-06-28,2 wk ahead inc case,2021-07-10,HR,point,NA,213
2021-06-28,3 wk ahead inc case,2021-07-17,HR,point,NA,192
2021-06-28,4 wk ahead inc case,2021-07-24,HR,point,NA,189
2021-06-28,1 wk ahead inc case,2021-07-03,HU,point,NA,282
2021-06-28,2 wk ahead inc case,2021-07-10,HU,point,NA,208
2021-06-28,3 wk ahead inc case,2021-07-17,HU,point,NA,165
2021-06-28,4 wk ahead inc case,2021-07-24,HU,point,NA,142
2021-06-28,1 wk ahead inc case,2021-07-03,IE,point,NA,2277
2021-06-28,2 wk ahead inc case,2021-07-10,IE,point,NA,2250
2021-06-28,3 wk ahead inc case,2021-07-17,IE,point,NA,2231
2021-06-28,4 wk ahead inc case,2021-07-24,IE,point,NA,2217
2021-06-28,1 wk ahead inc case,2021-07-03,IT,point,NA,3857
2021-06-28,2 wk ahead inc case,2021-07-10,IT,point,NA,2728
2021-06-28,3 wk ahead inc case,2021-07-17,IT,point,NA,2055
2021-06-28,4 wk ahead inc case,2021-07-24,IT,point,NA,1660
2021-06-28,1 wk ahead inc case,2021-07-03,LI,point,NA,2
2021-06-28,2 wk ahead inc case,2021-07-10,LI,point,NA,2
2021-06-28,3 wk ahead inc case,2021-07-17,LI,point,NA,1
2021-06-28,4 wk ahead inc case,2021-07-24,LI,point,NA,1
2021-06-28,1 wk ahead inc case,2021-07-03,LT,point,NA,98
2021-06-28,2 wk ahead inc case,2021-07-10,LT,point,NA,10
2021-06-28,3 wk ahead inc case,2021-07-17,LT,point,NA,4
2021-06-28,4 wk ahead inc case,2021-07-24,LT,point,NA,8
