forecast_date,target,target_end_date,location,type,quantile,value
2021-07-26,1 wk ahead inc case,2021-07-31,AT,point,NA,2791
2021-07-26,2 wk ahead inc case,2021-08-07,AT,point,NA,3408
2021-07-26,3 wk ahead inc case,2021-08-14,AT,point,NA,3916
2021-07-26,4 wk ahead inc case,2021-08-21,AT,point,NA,4423
2021-07-26,1 wk ahead inc case,2021-07-31,BG,point,NA,864
2021-07-26,2 wk ahead inc case,2021-08-07,BG,point,NA,1100
2021-07-26,3 wk ahead inc case,2021-08-14,BG,point,NA,1419
2021-07-26,4 wk ahead inc case,2021-08-21,BG,point,NA,1821
2021-07-26,1 wk ahead inc case,2021-07-31,CH,point,NA,8242
2021-07-26,2 wk ahead inc case,2021-08-07,CH,point,NA,13481
2021-07-26,3 wk ahead inc case,2021-08-14,CH,point,NA,22620
2021-07-26,4 wk ahead inc case,2021-08-21,CH,point,NA,38331
2021-07-26,1 wk ahead inc case,2021-07-31,CZ,point,NA,1493
2021-07-26,2 wk ahead inc case,2021-08-07,CZ,point,NA,1360
2021-07-26,3 wk ahead inc case,2021-08-14,CZ,point,NA,1179
2021-07-26,4 wk ahead inc case,2021-08-21,CZ,point,NA,997
2021-07-26,1 wk ahead inc case,2021-07-31,DE,point,NA,13981
2021-07-26,2 wk ahead inc case,2021-08-07,DE,point,NA,16695
2021-07-26,3 wk ahead inc case,2021-08-14,DE,point,NA,19487
2021-07-26,4 wk ahead inc case,2021-08-21,DE,point,NA,22416
2021-07-26,1 wk ahead inc case,2021-07-31,EE,point,NA,827
2021-07-26,2 wk ahead inc case,2021-08-07,EE,point,NA,1209
2021-07-26,3 wk ahead inc case,2021-08-14,EE,point,NA,1539
2021-07-26,4 wk ahead inc case,2021-08-21,EE,point,NA,1958
2021-07-26,1 wk ahead inc case,2021-07-31,FI,point,NA,3165
2021-07-26,2 wk ahead inc case,2021-08-07,FI,point,NA,3639
2021-07-26,3 wk ahead inc case,2021-08-14,FI,point,NA,4096
2021-07-26,4 wk ahead inc case,2021-08-21,FI,point,NA,4469
2021-07-26,1 wk ahead inc case,2021-07-31,FR,point,NA,283550
2021-07-26,2 wk ahead inc case,2021-08-07,FR,point,NA,648686
2021-07-26,3 wk ahead inc case,2021-08-14,FR,point,NA,1271919
2021-07-26,4 wk ahead inc case,2021-08-21,FR,point,NA,2027631
2021-07-26,1 wk ahead inc case,2021-07-31,GB,point,NA,270589
2021-07-26,2 wk ahead inc case,2021-08-07,GB,point,NA,249016
2021-07-26,3 wk ahead inc case,2021-08-14,GB,point,NA,239147
2021-07-26,4 wk ahead inc case,2021-08-21,GB,point,NA,210564
2021-07-26,1 wk ahead inc case,2021-07-31,GR,point,NA,16688
2021-07-26,2 wk ahead inc case,2021-08-07,GR,point,NA,17250
2021-07-26,3 wk ahead inc case,2021-08-14,GR,point,NA,17694
2021-07-26,4 wk ahead inc case,2021-08-21,GR,point,NA,18214
2021-07-26,1 wk ahead inc case,2021-07-31,HR,point,NA,1261
2021-07-26,2 wk ahead inc case,2021-08-07,HR,point,NA,1548
2021-07-26,3 wk ahead inc case,2021-08-14,HR,point,NA,1928
2021-07-26,4 wk ahead inc case,2021-08-21,HR,point,NA,2369
2021-07-26,1 wk ahead inc case,2021-07-31,HU,point,NA,344
2021-07-26,2 wk ahead inc case,2021-08-07,HU,point,NA,382
2021-07-26,3 wk ahead inc case,2021-08-14,HU,point,NA,443
2021-07-26,4 wk ahead inc case,2021-08-21,HU,point,NA,506
2021-07-26,1 wk ahead inc case,2021-07-31,IE,point,NA,14762
2021-07-26,2 wk ahead inc case,2021-08-07,IE,point,NA,22831
2021-07-26,3 wk ahead inc case,2021-08-14,IE,point,NA,33114
2021-07-26,4 wk ahead inc case,2021-08-21,IE,point,NA,43501
2021-07-26,1 wk ahead inc case,2021-07-31,IT,point,NA,49707
2021-07-26,2 wk ahead inc case,2021-08-07,IT,point,NA,82246
2021-07-26,3 wk ahead inc case,2021-08-14,IT,point,NA,135131
2021-07-26,4 wk ahead inc case,2021-08-21,IT,point,NA,220533
2021-07-26,1 wk ahead inc case,2021-07-31,LI,point,NA,7
2021-07-26,2 wk ahead inc case,2021-08-07,LI,point,NA,6
2021-07-26,3 wk ahead inc case,2021-08-14,LI,point,NA,6
2021-07-26,4 wk ahead inc case,2021-08-21,LI,point,NA,5
2021-07-26,1 wk ahead inc case,2021-07-31,LT,point,NA,2158
2021-07-26,2 wk ahead inc case,2021-08-07,LT,point,NA,3856
2021-07-26,3 wk ahead inc case,2021-08-14,LT,point,NA,5802
2021-07-26,4 wk ahead inc case,2021-08-21,LT,point,NA,9979
2021-07-26,1 wk ahead inc case,2021-07-31,LV,point,NA,335
2021-07-26,2 wk ahead inc case,2021-08-07,LV,point,NA,425
2021-07-26,3 wk ahead inc case,2021-08-14,LV,point,NA,572
2021-07-26,4 wk ahead inc case,2021-08-21,LV,point,NA,840
2021-07-26,1 wk ahead inc case,2021-07-31,PL,point,NA,840
2021-07-26,2 wk ahead inc case,2021-08-07,PL,point,NA,1019
2021-07-26,3 wk ahead inc case,2021-08-14,PL,point,NA,1152
2021-07-26,4 wk ahead inc case,2021-08-21,PL,point,NA,1183
2021-07-26,1 wk ahead inc case,2021-07-31,PT,point,NA,23228
2021-07-26,2 wk ahead inc case,2021-08-07,PT,point,NA,23620
2021-07-26,3 wk ahead inc case,2021-08-14,PT,point,NA,23296
2021-07-26,4 wk ahead inc case,2021-08-21,PT,point,NA,22390
2021-07-26,1 wk ahead inc case,2021-07-31,RO,point,NA,962
2021-07-26,2 wk ahead inc case,2021-08-07,RO,point,NA,1304
2021-07-26,3 wk ahead inc case,2021-08-14,RO,point,NA,1687
