forecast_date,target,target_end_date,location,type,quantile,value
2021-07-26,1 wk ahead inc case,2021-07-31,AT,point,NA,2915
2021-07-26,2 wk ahead inc case,2021-08-07,AT,point,NA,3610
2021-07-26,3 wk ahead inc case,2021-08-14,AT,point,NA,4615
2021-07-26,4 wk ahead inc case,2021-08-21,AT,point,NA,5997
2021-07-26,1 wk ahead inc case,2021-07-31,BG,point,NA,829
2021-07-26,2 wk ahead inc case,2021-08-07,BG,point,NA,1088
2021-07-26,3 wk ahead inc case,2021-08-14,BG,point,NA,1419
2021-07-26,4 wk ahead inc case,2021-08-21,BG,point,NA,1864
2021-07-26,1 wk ahead inc case,2021-07-31,CH,point,NA,8494
2021-07-26,2 wk ahead inc case,2021-08-07,CH,point,NA,14153
2021-07-26,3 wk ahead inc case,2021-08-14,CH,point,NA,24111
2021-07-26,4 wk ahead inc case,2021-08-21,CH,point,NA,41221
2021-07-26,1 wk ahead inc case,2021-07-31,CZ,point,NA,1445
2021-07-26,2 wk ahead inc case,2021-08-07,CZ,point,NA,1434
2021-07-26,3 wk ahead inc case,2021-08-14,CZ,point,NA,1458
2021-07-26,4 wk ahead inc case,2021-08-21,CZ,point,NA,1507
2021-07-26,1 wk ahead inc case,2021-07-31,DE,point,NA,14804
2021-07-26,2 wk ahead inc case,2021-08-07,DE,point,NA,19962
2021-07-26,3 wk ahead inc case,2021-08-14,DE,point,NA,24609
2021-07-26,4 wk ahead inc case,2021-08-21,DE,point,NA,28374
2021-07-26,1 wk ahead inc case,2021-07-31,EE,point,NA,840
2021-07-26,2 wk ahead inc case,2021-08-07,EE,point,NA,1215
2021-07-26,3 wk ahead inc case,2021-08-14,EE,point,NA,1675
2021-07-26,4 wk ahead inc case,2021-08-21,EE,point,NA,2311
2021-07-26,1 wk ahead inc case,2021-07-31,FI,point,NA,3171
2021-07-26,2 wk ahead inc case,2021-08-07,FI,point,NA,3642
2021-07-26,3 wk ahead inc case,2021-08-14,FI,point,NA,4095
2021-07-26,4 wk ahead inc case,2021-08-21,FI,point,NA,4463
2021-07-26,1 wk ahead inc case,2021-07-31,FR,point,NA,276467
2021-07-26,2 wk ahead inc case,2021-08-07,FR,point,NA,625669
2021-07-26,3 wk ahead inc case,2021-08-14,FR,point,NA,1204708
2021-07-26,4 wk ahead inc case,2021-08-21,FR,point,NA,1900261
2021-07-26,1 wk ahead inc case,2021-07-31,GB,point,NA,257351
2021-07-26,2 wk ahead inc case,2021-08-07,GB,point,NA,237878
2021-07-26,3 wk ahead inc case,2021-08-14,GB,point,NA,214784
2021-07-26,4 wk ahead inc case,2021-08-21,GB,point,NA,189610
2021-07-26,1 wk ahead inc case,2021-07-31,GR,point,NA,16688
2021-07-26,2 wk ahead inc case,2021-08-07,GR,point,NA,17250
2021-07-26,3 wk ahead inc case,2021-08-14,GR,point,NA,17694
2021-07-26,4 wk ahead inc case,2021-08-21,GR,point,NA,18214
2021-07-26,1 wk ahead inc case,2021-07-31,HR,point,NA,1243
2021-07-26,2 wk ahead inc case,2021-08-07,HR,point,NA,1567
2021-07-26,3 wk ahead inc case,2021-08-14,HR,point,NA,1908
2021-07-26,4 wk ahead inc case,2021-08-21,HR,point,NA,2326
2021-07-26,1 wk ahead inc case,2021-07-31,HU,point,NA,408
2021-07-26,2 wk ahead inc case,2021-08-07,HU,point,NA,515
2021-07-26,3 wk ahead inc case,2021-08-14,HU,point,NA,669
2021-07-26,4 wk ahead inc case,2021-08-21,HU,point,NA,903
2021-07-26,1 wk ahead inc case,2021-07-31,IE,point,NA,14762
2021-07-26,2 wk ahead inc case,2021-08-07,IE,point,NA,22831
