forecast_date,target,target_end_date,location,type,quantile,value
2021-09-13,1 wk ahead inc case,2021-09-18,AT,point,NA,15263
2021-09-13,2 wk ahead inc case,2021-09-25,AT,point,NA,17240
2021-09-13,3 wk ahead inc case,2021-10-02,AT,point,NA,19134
2021-09-13,4 wk ahead inc case,2021-10-09,AT,point,NA,21118
2021-09-13,1 wk ahead inc case,2021-09-18,BG,point,NA,9005
2021-09-13,2 wk ahead inc case,2021-09-25,BG,point,NA,8599
2021-09-13,3 wk ahead inc case,2021-10-02,BG,point,NA,8381
2021-09-13,4 wk ahead inc case,2021-10-09,BG,point,NA,8179
2021-09-13,1 wk ahead inc case,2021-09-18,CZ,point,NA,2903
2021-09-13,2 wk ahead inc case,2021-09-25,CZ,point,NA,3417
2021-09-13,3 wk ahead inc case,2021-10-02,CZ,point,NA,4017
2021-09-13,4 wk ahead inc case,2021-10-09,CZ,point,NA,4808
2021-09-13,1 wk ahead inc case,2021-09-18,DE,point,NA,72941
2021-09-13,2 wk ahead inc case,2021-09-25,DE,point,NA,74553
2021-09-13,3 wk ahead inc case,2021-10-02,DE,point,NA,75953
2021-09-13,4 wk ahead inc case,2021-10-09,DE,point,NA,76998
2021-09-13,1 wk ahead inc case,2021-09-18,EE,point,NA,3387
2021-09-13,2 wk ahead inc case,2021-09-25,EE,point,NA,3850
2021-09-13,3 wk ahead inc case,2021-10-02,EE,point,NA,4317
2021-09-13,4 wk ahead inc case,2021-10-09,EE,point,NA,4836
2021-09-13,1 wk ahead inc case,2021-09-18,FI,point,NA,2621
2021-09-13,2 wk ahead inc case,2021-09-25,FI,point,NA,1358
2021-09-13,3 wk ahead inc case,2021-10-02,FI,point,NA,1050
2021-09-13,4 wk ahead inc case,2021-10-09,FI,point,NA,862
2021-09-13,1 wk ahead inc case,2021-09-18,HR,point,NA,7082
2021-09-13,2 wk ahead inc case,2021-09-25,HR,point,NA,8381
2021-09-13,3 wk ahead inc case,2021-10-02,HR,point,NA,9141
2021-09-13,4 wk ahead inc case,2021-10-09,HR,point,NA,9612
2021-09-13,1 wk ahead inc case,2021-09-18,HU,point,NA,1730
2021-09-13,2 wk ahead inc case,2021-09-25,HU,point,NA,2006
2021-09-13,3 wk ahead inc case,2021-10-02,HU,point,NA,2279
2021-09-13,4 wk ahead inc case,2021-10-09,HU,point,NA,2623
2021-09-13,1 wk ahead inc case,2021-09-18,LV,point,NA,3425
2021-09-13,2 wk ahead inc case,2021-09-25,LV,point,NA,4412
2021-09-13,3 wk ahead inc case,2021-10-02,LV,point,NA,5463
2021-09-13,4 wk ahead inc case,2021-10-09,LV,point,NA,6611
2021-09-13,1 wk ahead inc case,2021-09-18,NO,point,NA,7376
2021-09-13,2 wk ahead inc case,2021-09-25,NO,point,NA,7465
2021-09-13,3 wk ahead inc case,2021-10-02,NO,point,NA,7494
2021-09-13,4 wk ahead inc case,2021-10-09,NO,point,NA,7525
2021-09-13,1 wk ahead inc case,2021-09-18,PL,point,NA,4244
2021-09-13,2 wk ahead inc case,2021-09-25,PL,point,NA,6073
2021-09-13,3 wk ahead inc case,2021-10-02,PL,point,NA,8251
2021-09-13,4 wk ahead inc case,2021-10-09,PL,point,NA,11277
2021-09-13,1 wk ahead inc case,2021-09-18,RO,point,NA,21108
2021-09-13,2 wk ahead inc case,2021-09-25,RO,point,NA,32388
2021-09-13,3 wk ahead inc case,2021-10-02,RO,point,NA,45491
2021-09-13,4 wk ahead inc case,2021-10-09,RO,point,NA,60512
2021-09-13,1 wk ahead inc case,2021-09-18,SI,point,NA,7483
2021-09-13,2 wk ahead inc case,2021-09-25,SI,point,NA,9729
2021-09-13,3 wk ahead inc case,2021-10-02,SI,point,NA,12322
2021-09-13,4 wk ahead inc case,2021-10-09,SI,point,NA,15207
2021-09-13,1 wk ahead inc case,2021-09-18,SK,point,NA,3583
2021-09-13,2 wk ahead inc case,2021-09-25,SK,point,NA,5084
2021-09-13,3 wk ahead inc case,2021-10-02,SK,point,NA,6658
