forecast_date,target,target_end_date,location,type,quantile,value
2021-06-07,1 wk ahead inc case,2021-06-12,AT,point,NA,1865
2021-06-07,1 wk ahead inc case,2021-06-12,BE,point,NA,5614
2021-06-07,1 wk ahead inc case,2021-06-12,BG,point,NA,807
2021-06-07,1 wk ahead inc case,2021-06-12,CH,point,NA,2974
2021-06-07,1 wk ahead inc case,2021-06-12,CY,point,NA,171
2021-06-07,1 wk ahead inc case,2021-06-12,CZ,point,NA,1817
2021-06-07,1 wk ahead inc case,2021-06-12,DE,point,NA,15908
2021-06-07,1 wk ahead inc case,2021-06-12,DK,point,NA,6188
2021-06-07,1 wk ahead inc case,2021-06-12,EE,point,NA,460
2021-06-07,1 wk ahead inc case,2021-06-12,FI,point,NA,580
2021-06-07,1 wk ahead inc case,2021-06-12,FR,point,NA,51666
2021-06-07,1 wk ahead inc case,2021-06-12,GB,point,NA,40037
2021-06-07,1 wk ahead inc case,2021-06-12,GR,point,NA,8476
2021-06-07,1 wk ahead inc case,2021-06-12,HR,point,NA,926
2021-06-07,1 wk ahead inc case,2021-06-12,HU,point,NA,1278
2021-06-07,1 wk ahead inc case,2021-06-12,IE,point,NA,2911
2021-06-07,1 wk ahead inc case,2021-06-12,IT,point,NA,11866
2021-06-07,1 wk ahead inc case,2021-06-12,LT,point,NA,1267
2021-06-07,1 wk ahead inc case,2021-06-12,LU,point,NA,263
2021-06-07,1 wk ahead inc case,2021-06-12,MT,point,NA,41
2021-06-07,1 wk ahead inc case,2021-06-12,NL,point,NA,10077
2021-06-07,1 wk ahead inc case,2021-06-12,PL,point,NA,4129
2021-06-07,1 wk ahead inc case,2021-06-12,PT,point,NA,4324
2021-06-07,1 wk ahead inc case,2021-06-12,RO,point,NA,826
2021-06-07,1 wk ahead inc case,2021-06-12,SK,point,NA,535
2021-06-07,2 wk ahead inc case,2021-06-19,AT,point,NA,1432
2021-06-07,2 wk ahead inc case,2021-06-19,BE,point,NA,4308
2021-06-07,2 wk ahead inc case,2021-06-19,BG,point,NA,566
2021-06-07,2 wk ahead inc case,2021-06-19,CH,point,NA,2028
2021-06-07,2 wk ahead inc case,2021-06-19,CY,point,NA,118
2021-06-07,2 wk ahead inc case,2021-06-19,CZ,point,NA,1287
2021-06-07,2 wk ahead inc case,2021-06-19,DE,point,NA,11653
2021-06-07,2 wk ahead inc case,2021-06-19,DK,point,NA,5797
2021-06-07,2 wk ahead inc case,2021-06-19,EE,point,NA,296
2021-06-07,2 wk ahead inc case,2021-06-19,FI,point,NA,534
2021-06-07,2 wk ahead inc case,2021-06-19,FR,point,NA,43323
2021-06-07,2 wk ahead inc case,2021-06-19,GB,point,NA,51480
2021-06-07,2 wk ahead inc case,2021-06-19,GR,point,NA,7421
2021-06-07,2 wk ahead inc case,2021-06-19,HR,point,NA,578
2021-06-07,2 wk ahead inc case,2021-06-19,HU,point,NA,899
2021-06-07,2 wk ahead inc case,2021-06-19,IE,point,NA,2879
2021-06-07,2 wk ahead inc case,2021-06-19,IT,point,NA,8115
