weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,Overall,1.19,1.1,0.35,0.76,-0.11,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,Overall,1.13,1.03,0.33,0.77,-0.23,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.15,1.05,0.34,0.78,-0.11,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.06,0.97,0.32,0.77,-0.24,320,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.38,0.75,-0.29,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,4,Overall,1.18,1.08,0.37,0.8,-0.12,155,21,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,4,Overall,1.16,1.06,0.36,0.77,-0.18,155,21,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,4,Overall,1.15,1.04,0.37,0.8,-0.12,155,21,NA
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,4,Overall,1.09,1,0.34,0.78,-0.18,155,21,NA
10,EuroCOVIDhub-cutoff_mean,inc case,4,Overall,1.14,1.03,0.36,0.8,-0.12,155,21,NA
10,EuroCOVIDhub-cutoff_median,inc case,4,Overall,1.07,0.98,0.36,0.77,-0.19,155,21,NA
10,EuroCOVIDhub-mean,inc case,4,Overall,1.15,1.05,0.35,0.77,-0.1,320,32,NA
10,EuroCOVIDhub-median,inc case,4,Overall,1.01,0.94,0.33,0.77,-0.24,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,Overall,0.93,0.82,0.36,0.81,-0.16,320,32,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,Overall,0.94,0.84,0.33,0.76,-0.25,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.9,0.79,0.38,0.84,-0.17,320,32,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.91,0.8,0.34,0.78,-0.27,320,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.37,0.74,-0.29,320,32,NA
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,3,Overall,0.99,0.89,0.38,0.79,-0.13,149,20,NA
