model,target_variable,location,weight
bisop-seirfilter,inc case,CZ,0.08786078517004953
bisop-seirfilter,inc death,CZ,0.08063545779000042
bisop-seirfilterlite,inc case,AT,0.13910034561933937
bisop-seirfilterlite,inc death,AT,0.11156919001086334
bisop-seirfilterlite,inc case,BE,0.1704787464741262
bisop-seirfilterlite,inc death,BE,0.07252971480303881
bisop-seirfilterlite,inc case,BG,0.10634486273257589
bisop-seirfilterlite,inc death,BG,0.12714777890058168
bisop-seirfilterlite,inc case,CH,0.07163687002595259
bisop-seirfilterlite,inc death,CH,0.08121679743580246
bisop-seirfilterlite,inc case,CZ,0.13042445443020684
bisop-seirfilterlite,inc death,CZ,0.05401666737623216
bisop-seirfilterlite,inc case,DE,0.033684942490819145
bisop-seirfilterlite,inc death,DE,0.05788952661634157
bisop-seirfilterlite,inc case,DK,0.1712627966018436
bisop-seirfilterlite,inc death,DK,0.04839421247553227
bisop-seirfilterlite,inc case,EE,0.11879155535339667
bisop-seirfilterlite,inc death,EE,0.03402888707187359
bisop-seirfilterlite,inc case,ES,0.06181537378458021
bisop-seirfilterlite,inc death,ES,0.06843133753922757
bisop-seirfilterlite,inc case,FI,0.10811371595084153
bisop-seirfilterlite,inc death,FI,0.10097115860574689
bisop-seirfilterlite,inc case,FR,0.05232131447051278
bisop-seirfilterlite,inc death,FR,0.03142262814438343
bisop-seirfilterlite,inc case,GB,0.18562367026927365
bisop-seirfilterlite,inc death,GB,0.031130288713603096
bisop-seirfilterlite,inc case,GR,0.06922156702785552
bisop-seirfilterlite,inc death,GR,0.08060416075210276
bisop-seirfilterlite,inc case,HR,0.05147803693674239
bisop-seirfilterlite,inc death,HR,0.0719011192535778
bisop-seirfilterlite,inc case,HU,0.08658176453719726
bisop-seirfilterlite,inc death,HU,0.04925441891638416
bisop-seirfilterlite,inc case,IE,0.11170278664163248
bisop-seirfilterlite,inc death,IE,0.05525700828017518
bisop-seirfilterlite,inc case,IT,0.06827667026161202
bisop-seirfilterlite,inc death,IT,0.077768644027877
bisop-seirfilterlite,inc case,LT,0.22457903501004015
bisop-seirfilterlite,inc death,LT,0.032400324935519136
bisop-seirfilterlite,inc case,LV,0.07222611233414962
bisop-seirfilterlite,inc death,LV,0.0703506855562388
bisop-seirfilterlite,inc case,MT,0.11145101211834772
bisop-seirfilterlite,inc death,MT,0.12425302466907015
bisop-seirfilterlite,inc case,NL,0.1534121389298871
bisop-seirfilterlite,inc death,NL,0.031516248394217274
bisop-seirfilterlite,inc case,NO,0.0878228658039404
bisop-seirfilterlite,inc death,NO,0.12568612602423881
bisop-seirfilterlite,inc case,Overall,0.07622899344520505
bisop-seirfilterlite,inc death,Overall,0.06176839412158724
bisop-seirfilterlite,inc case,PL,0.04152814167132755
bisop-seirfilterlite,inc death,PL,0.03613899019182881
bisop-seirfilterlite,inc case,PT,0.0902946862082515
bisop-seirfilterlite,inc death,PT,0.016980254307925557
bisop-seirfilterlite,inc case,RO,0.06932409506615851
bisop-seirfilterlite,inc death,RO,0.040313778958099906
bisop-seirfilterlite,inc case,SE,0.06331978102049685
bisop-seirfilterlite,inc death,SE,0.0755870914009766
bisop-seirfilterlite,inc case,SI,0.11361953419440238
bisop-seirfilterlite,inc death,SI,0.0604512135921713
bisop-seirfilterlite,inc case,SK,0.25221685666968335
bisop-seirfilterlite,inc death,SK,0.03561672496727121
DSMPG-bayes,inc case,AT,0.07512730930855828
DSMPG-bayes,inc case,BE,0.04219899115456731
DSMPG-bayes,inc case,BG,0.06114554672110878
DSMPG-bayes,inc case,CY,0.09254503527245649
DSMPG-bayes,inc case,CZ,0.07245803023900381
DSMPG-bayes,inc case,DE,0.05944401616026909
DSMPG-bayes,inc case,DK,0.07658434639197921
DSMPG-bayes,inc case,EE,0.11143278643769954
DSMPG-bayes,inc case,FI,0.08772216098502444
DSMPG-bayes,inc case,FR,0.10711644995617986
DSMPG-bayes,inc case,GR,0.05657072891586813
DSMPG-bayes,inc case,HR,0.060135283654856396
DSMPG-bayes,inc case,HU,0.05454557765881683
DSMPG-bayes,inc case,IE,0.0060450919829589346
DSMPG-bayes,inc case,IT,0.06515290103395657
DSMPG-bayes,inc case,LT,0.11332603612814333
DSMPG-bayes,inc case,LV,0.14299015761700065
DSMPG-bayes,inc case,MT,0.08834531448405611
DSMPG-bayes,inc case,NL,0.04655264905458643
DSMPG-bayes,inc case,NO,0.07164171893992326
DSMPG-bayes,inc case,Overall,0.0843922793194276
DSMPG-bayes,inc case,PL,0.03678748622939518
DSMPG-bayes,inc case,PT,0.07204860972057375
DSMPG-bayes,inc case,RO,0.04682955094439616
DSMPG-bayes,inc case,SI,0.09858679582406608
DSMPG-bayes,inc case,SK,0.11676706327300154
epiforecasts-EpiExpert,inc case,AT,0.10275477144138294
epiforecasts-EpiExpert,inc death,AT,0.17489224380081284
epiforecasts-EpiExpert,inc case,BE,0.10918678064944036
epiforecasts-EpiExpert,inc death,BE,0.1323136219837863
epiforecasts-EpiExpert,inc case,BG,0.0895874904232003
epiforecasts-EpiExpert,inc death,BG,0.0835094054013697
epiforecasts-EpiExpert,inc case,CH,0.19485228647059105
epiforecasts-EpiExpert,inc death,CH,0.11059308587002886
epiforecasts-EpiExpert,inc case,CY,0.08631850294536954
epiforecasts-EpiExpert,inc death,CY,0.010188058566686324
epiforecasts-EpiExpert,inc case,CZ,0.07553539831865262
epiforecasts-EpiExpert,inc death,CZ,0.052127972712727545
epiforecasts-EpiExpert,inc case,DE,0.08115802206337255
epiforecasts-EpiExpert,inc death,DE,0.11281984420437173
epiforecasts-EpiExpert,inc case,DK,0.028927915528107227
epiforecasts-EpiExpert,inc death,DK,0.1705319868185423
epiforecasts-EpiExpert,inc case,EE,0.15609799422471135
epiforecasts-EpiExpert,inc death,EE,0.20388974837230925
epiforecasts-EpiExpert,inc case,ES,0.12048197517798877
epiforecasts-EpiExpert,inc death,ES,0.09466925970452728
epiforecasts-EpiExpert,inc case,FI,0.16883511806021825
epiforecasts-EpiExpert,inc death,FI,0.07314446135219459
epiforecasts-EpiExpert,inc case,FR,0.10344807838233808
epiforecasts-EpiExpert,inc death,FR,0.0925930743036273
epiforecasts-EpiExpert,inc case,GB,0.0770513348287551
epiforecasts-EpiExpert,inc death,GB,0.10596667813769532
epiforecasts-EpiExpert,inc case,GR,0.2270659015308202
epiforecasts-EpiExpert,inc death,GR,0.11102082518685852
epiforecasts-EpiExpert,inc case,HR,0.1646277814907702
epiforecasts-EpiExpert,inc death,HR,0.12029610336656284
epiforecasts-EpiExpert,inc case,HU,0.2515609477100657
epiforecasts-EpiExpert,inc death,HU,0.15979609524664046
epiforecasts-EpiExpert,inc case,IE,0.15443062852640993
epiforecasts-EpiExpert,inc death,IE,0.04867283987273349
epiforecasts-EpiExpert,inc case,IS,0.014806665761723646
epiforecasts-EpiExpert,inc death,IS,NA
