model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,AT,0.11841982654424706
epiforecasts-EpiExpert,inc death,AT,0.09765438234473475
epiforecasts-EpiExpert,inc case,BE,0.18204661414230577
epiforecasts-EpiExpert,inc death,BE,0.11159635956276882
epiforecasts-EpiExpert,inc case,BG,0.19300644026023614
epiforecasts-EpiExpert,inc death,BG,0.09823382471124532
epiforecasts-EpiExpert,inc case,CH,0.18620448530240366
epiforecasts-EpiExpert,inc death,CH,0.08258332326201531
epiforecasts-EpiExpert,inc case,CY,0.07798950704291652
epiforecasts-EpiExpert,inc death,CY,0.02259739996436195
epiforecasts-EpiExpert,inc case,CZ,0.10035599418727986
epiforecasts-EpiExpert,inc death,CZ,0.07190159840919375
epiforecasts-EpiExpert,inc case,DE,0.0834036982646461
epiforecasts-EpiExpert,inc death,DE,0.09723351823610568
epiforecasts-EpiExpert,inc case,DK,0.04830574659659683
epiforecasts-EpiExpert,inc death,DK,0.12132894334692935
epiforecasts-EpiExpert,inc case,EE,0.1716934533254772
epiforecasts-EpiExpert,inc death,EE,0.23059383172994113
epiforecasts-EpiExpert,inc case,ES,0.11878898171255739
epiforecasts-EpiExpert,inc death,ES,0.10292632524597722
epiforecasts-EpiExpert,inc case,FI,0.2106996770255231
epiforecasts-EpiExpert,inc death,FI,0.09989549976968184
epiforecasts-EpiExpert,inc case,FR,0.11497167881262377
epiforecasts-EpiExpert,inc death,FR,0.08362994593140552
epiforecasts-EpiExpert,inc case,GB,0.10869605720333704
epiforecasts-EpiExpert,inc death,GB,0.1539586357324221
epiforecasts-EpiExpert,inc case,GR,0.14609797496170177
epiforecasts-EpiExpert,inc death,GR,0.12273992408644036
epiforecasts-EpiExpert,inc case,HR,0.11353748588180801
epiforecasts-EpiExpert,inc death,HR,0.17517923956451079
epiforecasts-EpiExpert,inc case,HU,0.12888288954161353
epiforecasts-EpiExpert,inc death,HU,0.21385493659084032
epiforecasts-EpiExpert,inc case,IE,0.17831737241821338
epiforecasts-EpiExpert,inc death,IE,0.058741686027863706
epiforecasts-EpiExpert,inc case,IS,0.029277704325217514
epiforecasts-EpiExpert,inc death,IS,NA
epiforecasts-EpiExpert,inc case,IT,0.11768280968423761
epiforecasts-EpiExpert,inc death,IT,0.0746898401495566
epiforecasts-EpiExpert,inc case,LI,0.10200522640565043
epiforecasts-EpiExpert,inc case,LT,0.11229145039319864
epiforecasts-EpiExpert,inc death,LT,0.09760373398432103
epiforecasts-EpiExpert,inc case,LU,0.14363398922700796
epiforecasts-EpiExpert,inc death,LU,0.07454260967785624
epiforecasts-EpiExpert,inc case,LV,0.1187484512050626
epiforecasts-EpiExpert,inc death,LV,0.09463795497020376
epiforecasts-EpiExpert,inc case,MT,0.15852353543918477
epiforecasts-EpiExpert,inc death,MT,0.1090267151433441
epiforecasts-EpiExpert,inc case,NL,0.11678319634647512
epiforecasts-EpiExpert,inc death,NL,0.16121170991053269
epiforecasts-EpiExpert,inc case,NO,0.12085734800559497
epiforecasts-EpiExpert,inc death,NO,0.1295482170984081
epiforecasts-EpiExpert,inc case,Overall,0.1387471330272356
epiforecasts-EpiExpert,inc death,Overall,0.11611776912149749
epiforecasts-EpiExpert,inc case,PL,0.07063127705088028
epiforecasts-EpiExpert,inc death,PL,0.08158750330012425
epiforecasts-EpiExpert,inc case,PT,0.16132627909642863
epiforecasts-EpiExpert,inc death,PT,0.10788742313191665
epiforecasts-EpiExpert,inc case,RO,0.19156391914767948
epiforecasts-EpiExpert,inc death,RO,0.07206217975863026
epiforecasts-EpiExpert,inc case,SE,0.15496775259957885
epiforecasts-EpiExpert,inc death,SE,0.20527056154466178
epiforecasts-EpiExpert,inc case,SI,0.1278634471114006
epiforecasts-EpiExpert,inc death,SI,0.09397904697788707
epiforecasts-EpiExpert,inc case,SK,0.10746030463235541
epiforecasts-EpiExpert,inc death,SK,0.10390764875495498
epiforecasts-EpiNow2,inc case,AT,0.1587223725530034
epiforecasts-EpiNow2,inc death,AT,0.13312883144139345
epiforecasts-EpiNow2,inc case,BE,0.11028550068372052
epiforecasts-EpiNow2,inc death,BE,0.08666202309370333
epiforecasts-EpiNow2,inc case,BG,0.16344689535551532
epiforecasts-EpiNow2,inc death,BG,0.08461989791702385
epiforecasts-EpiNow2,inc case,CH,0.1099985755767903
epiforecasts-EpiNow2,inc death,CH,0.07549648816597546
epiforecasts-EpiNow2,inc case,CY,0.11983219200133524
epiforecasts-EpiNow2,inc death,CY,0.13043239663402598
epiforecasts-EpiNow2,inc case,CZ,0.14295314279914684
epiforecasts-EpiNow2,inc death,CZ,0.16044708533903418
epiforecasts-EpiNow2,inc case,DE,0.04734978046193266
epiforecasts-EpiNow2,inc death,DE,0.03893691222430184
epiforecasts-EpiNow2,inc case,DK,0.12013350786056637
epiforecasts-EpiNow2,inc death,DK,0.0969105396544656
epiforecasts-EpiNow2,inc case,EE,0.18921319346072998
epiforecasts-EpiNow2,inc death,EE,0.10390956614991174
epiforecasts-EpiNow2,inc case,ES,0.06526264461585564
epiforecasts-EpiNow2,inc death,ES,0.10364274978365222
epiforecasts-EpiNow2,inc case,FI,0.10323814909936545
epiforecasts-EpiNow2,inc death,FI,0.11825236511197379
epiforecasts-EpiNow2,inc case,FR,0.09289482278127208
epiforecasts-EpiNow2,inc death,FR,0.06855926143564263
epiforecasts-EpiNow2,inc case,GB,0.1324254781420937
epiforecasts-EpiNow2,inc death,GB,0.09198786411685597
epiforecasts-EpiNow2,inc case,GR,0.07676334277648736
epiforecasts-EpiNow2,inc death,GR,0.11086186691678485
epiforecasts-EpiNow2,inc case,HR,0.13336766321047996
epiforecasts-EpiNow2,inc death,HR,0.14461605308729825
epiforecasts-EpiNow2,inc case,HU,0.1847839018729158
epiforecasts-EpiNow2,inc death,HU,0.1367507757791768
epiforecasts-EpiNow2,inc case,IE,0.05924922278432649
epiforecasts-EpiNow2,inc death,IE,0.07522843782362587
epiforecasts-EpiNow2,inc case,IS,0.050946988718110015
epiforecasts-EpiNow2,inc death,IS,NA
epiforecasts-EpiNow2,inc case,IT,0.15903082389761844
epiforecasts-EpiNow2,inc death,IT,0.1465687723364955
epiforecasts-EpiNow2,inc case,LI,0.06287836228379799
epiforecasts-EpiNow2,inc death,LI,NA
epiforecasts-EpiNow2,inc case,LT,0.10696303359070944
epiforecasts-EpiNow2,inc death,LT,0.07972759222895089
epiforecasts-EpiNow2,inc case,LU,0.1295006676325884
epiforecasts-EpiNow2,inc death,LU,0.10637687427601049
epiforecasts-EpiNow2,inc case,LV,0.13544084915025822
epiforecasts-EpiNow2,inc death,LV,0.11337091777921582
epiforecasts-EpiNow2,inc case,MT,0.1232496089078622
epiforecasts-EpiNow2,inc death,MT,0.1354664362544003
epiforecasts-EpiNow2,inc case,NL,0.12918495171070257
epiforecasts-EpiNow2,inc death,NL,0.0720459411547071
epiforecasts-EpiNow2,inc case,NO,0.13550184689841674
epiforecasts-EpiNow2,inc death,NO,0.09702565213646466
epiforecasts-EpiNow2,inc case,Overall,0.12571563434511956
epiforecasts-EpiNow2,inc death,Overall,0.10611377670487616
epiforecasts-EpiNow2,inc case,PL,0.10413585719040037
epiforecasts-EpiNow2,inc death,PL,0.06088158390198666
epiforecasts-EpiNow2,inc case,PT,0.08680701504205864
epiforecasts-EpiNow2,inc death,PT,0.09460897105414232
epiforecasts-EpiNow2,inc case,RO,0.15786285929762472
epiforecasts-EpiNow2,inc death,RO,0.1373019046288695
epiforecasts-EpiNow2,inc case,SE,0.129361493049863
epiforecasts-EpiNow2,inc death,SE,0.08248144382067318
epiforecasts-EpiNow2,inc case,SI,0.14776056515679709
epiforecasts-EpiNow2,inc death,SI,0.12494941473196348
epiforecasts-EpiNow2,inc case,SK,0.19031137919623248
epiforecasts-EpiNow2,inc death,SK,0.11789521685658354
FIAS_FZJ-Epi1Ger,inc case,DE,0.044462598726448956
