model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.05307587609404686
epiforecasts-EpiExpert,inc case,AT,0.07112898166686452
epiforecasts-EpiExpert,inc death,AT,0.09441812442036318
epiforecasts-EpiExpert,inc case,BE,0.14107654806977343
epiforecasts-EpiExpert,inc death,BE,0.12543809920961335
epiforecasts-EpiExpert,inc case,BG,0.20125306117556266
epiforecasts-EpiExpert,inc death,BG,0.11870436357385866
epiforecasts-EpiExpert,inc case,CH,0.15637492566513553
epiforecasts-EpiExpert,inc death,CH,0.09380817600792422
epiforecasts-EpiExpert,inc case,CY,0.09364066160377726
epiforecasts-EpiExpert,inc death,CY,0.027834312356907105
epiforecasts-EpiExpert,inc case,CZ,0.09500755205575752
epiforecasts-EpiExpert,inc death,CZ,0.0737308099708675
epiforecasts-EpiExpert,inc case,DE,0.08746586322614465
epiforecasts-EpiExpert,inc death,DE,0.09467587575782212
epiforecasts-EpiExpert,inc case,DK,0.045003190450790195
epiforecasts-EpiExpert,inc death,DK,0.12802057111959086
epiforecasts-EpiExpert,inc case,EE,0.16676385579257322
epiforecasts-EpiExpert,inc death,EE,0.24325371304116497
epiforecasts-EpiExpert,inc case,ES,0.10394773484787706
epiforecasts-EpiExpert,inc death,ES,0.08464830672845157
epiforecasts-EpiExpert,inc case,FI,0.17211059010564442
epiforecasts-EpiExpert,inc death,FI,0.08750376411969168
epiforecasts-EpiExpert,inc case,FR,0.1126298524208119
epiforecasts-EpiExpert,inc death,FR,0.08666866110548987
epiforecasts-EpiExpert,inc case,GB,0.11276071513213712
epiforecasts-EpiExpert,inc death,GB,0.14601977987222253
epiforecasts-EpiExpert,inc case,GR,0.09902268994476843
epiforecasts-EpiExpert,inc death,GR,0.12242910552865646
epiforecasts-EpiExpert,inc case,HR,0.11463001905740117
epiforecasts-EpiExpert,inc death,HR,0.1700484479115692
epiforecasts-EpiExpert,inc case,HU,0.13473861387213054
epiforecasts-EpiExpert,inc death,HU,0.1980062774857148
epiforecasts-EpiExpert,inc case,IE,0.14829095262087338
epiforecasts-EpiExpert,inc death,IE,0.06428864602869724
