model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.052869498810845475
epiforecasts-EpiExpert,inc case,AT,0.07105529109399085
epiforecasts-EpiExpert,inc death,AT,0.07820366188720206
epiforecasts-EpiExpert,inc case,BE,0.1422581637031918
epiforecasts-EpiExpert,inc death,BE,0.10632769641798877
epiforecasts-EpiExpert,inc case,BG,0.21059304556529151
epiforecasts-EpiExpert,inc death,BG,0.10314739130315859
epiforecasts-EpiExpert,inc case,CH,0.15609914763354046
epiforecasts-EpiExpert,inc death,CH,0.08421857004987926
epiforecasts-EpiExpert,inc case,CY,0.09415537725190729
epiforecasts-EpiExpert,inc death,CY,0.025271749899917716
epiforecasts-EpiExpert,inc case,CZ,0.09580376189202283
epiforecasts-EpiExpert,inc death,CZ,0.06457381185057594
epiforecasts-EpiExpert,inc case,DE,0.08906477107365506
epiforecasts-EpiExpert,inc death,DE,0.08368437951443906
epiforecasts-EpiExpert,inc case,DK,0.0450371949707387
epiforecasts-EpiExpert,inc death,DK,0.1145132994345321
epiforecasts-EpiExpert,inc case,EE,0.16587486182640526
epiforecasts-EpiExpert,inc death,EE,0.21012423607782385
epiforecasts-EpiExpert,inc case,ES,0.10447939660474387
epiforecasts-EpiExpert,inc death,ES,0.0800606490467538
epiforecasts-EpiExpert,inc case,FI,0.17090945683978523
epiforecasts-EpiExpert,inc death,FI,0.07636860532233115
epiforecasts-EpiExpert,inc case,FR,0.11254451870925
epiforecasts-EpiExpert,inc death,FR,0.07631021773921462
epiforecasts-EpiExpert,inc case,GB,0.11711073476767597
epiforecasts-EpiExpert,inc death,GB,0.1294756211345153
epiforecasts-EpiExpert,inc case,GR,0.0994317402170751
epiforecasts-EpiExpert,inc death,GR,0.10672081961592081
epiforecasts-EpiExpert,inc case,HR,0.11460896976008822
epiforecasts-EpiExpert,inc death,HR,0.14997801885768497
epiforecasts-EpiExpert,inc case,HU,0.1354787992117632
epiforecasts-EpiExpert,inc death,HU,0.17338104567817547
epiforecasts-EpiExpert,inc case,IE,0.14775338418240422
epiforecasts-EpiExpert,inc death,IE,0.05804672876621603
epiforecasts-EpiExpert,inc case,IS,0.03699818549477633
epiforecasts-EpiExpert,inc death,IS,NA
epiforecasts-EpiExpert,inc case,IT,0.11266192523787356
epiforecasts-EpiExpert,inc death,IT,0.06372750289134907
epiforecasts-EpiExpert,inc case,LI,0.12966925777235644
epiforecasts-EpiExpert,inc case,LT,0.0895892871935506
epiforecasts-EpiExpert,inc death,LT,0.07886912284804788
epiforecasts-EpiExpert,inc case,LU,0.1262147546388876
epiforecasts-EpiExpert,inc death,LU,0.08169355535495137
epiforecasts-EpiExpert,inc case,LV,0.09557156605440312
epiforecasts-EpiExpert,inc death,LV,0.13044090392175725
epiforecasts-EpiExpert,inc case,MT,0.11972688326813291
epiforecasts-EpiExpert,inc death,MT,0.11473528681776073
epiforecasts-EpiExpert,inc case,NL,0.07718599075335394
epiforecasts-EpiExpert,inc death,NL,0.1512433350215642
epiforecasts-EpiExpert,inc case,NO,0.11814192842368595
epiforecasts-EpiExpert,inc death,NO,0.1354847537409082
epiforecasts-EpiExpert,inc case,Overall,0.11833086617073717
epiforecasts-EpiExpert,inc death,Overall,0.1038311454400028
epiforecasts-EpiExpert,inc case,PL,0.0714466425965359
epiforecasts-EpiExpert,inc death,PL,0.07445243773408021
epiforecasts-EpiExpert,inc case,PT,0.14906016915892062
epiforecasts-EpiExpert,inc death,PT,0.10640597570255456
epiforecasts-EpiExpert,inc case,RO,0.14921833800024562
epiforecasts-EpiExpert,inc death,RO,0.06908473578065216
epiforecasts-EpiExpert,inc case,SE,0.1443397396446518
epiforecasts-EpiExpert,inc death,SE,0.1500578940707218
epiforecasts-EpiExpert,inc case,SI,0.09064146588555388
epiforecasts-EpiExpert,inc death,SI,0.08590718464579152
epiforecasts-EpiExpert,inc case,SK,0.10474979981937989
epiforecasts-EpiExpert,inc death,SK,0.09864816898576208
epiforecasts-EpiNow2,inc case,AT,0.08853586384604327
epiforecasts-EpiNow2,inc death,AT,0.09796330599393283
epiforecasts-EpiNow2,inc case,BE,0.10381001135097781
epiforecasts-EpiNow2,inc death,BE,0.08840729814529402
epiforecasts-EpiNow2,inc case,BG,0.1121450771099723
epiforecasts-EpiNow2,inc death,BG,0.08399144720400056
epiforecasts-EpiNow2,inc case,CH,0.06950979856455365
epiforecasts-EpiNow2,inc death,CH,0.03746241284357542
epiforecasts-EpiNow2,inc case,CY,0.11388954157823955
epiforecasts-EpiNow2,inc death,CY,0.1269397092674028
epiforecasts-EpiNow2,inc case,CZ,0.1263412109951051
epiforecasts-EpiNow2,inc death,CZ,0.12754662010155082
