model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.17935843675169982
ECDC-hosp_model,inc hosp,BE,0.22792762485376716
ECDC-hosp_model,inc hosp,DK,0.16412772521119207
ECDC-hosp_model,inc hosp,EE,0.16674055114228162
ECDC-hosp_model,inc hosp,FR,0.1721483040445407
ECDC-hosp_model,inc hosp,IE,0.1484645855573915
ECDC-hosp_model,inc hosp,NL,0.17838265171679615
ECDC-hosp_model,inc hosp,NO,0.1136077478647486
ECDC-hosp_model,inc hosp,SI,0.10598306721625868
epiforecasts-arimareg,inc hosp,BE,0.15040909254309512
epiforecasts-arimareg,inc hosp,DK,0.20363995535462717
epiforecasts-arimareg,inc hosp,EE,0.2457229174728361
epiforecasts-arimareg,inc hosp,FR,0.13461220767392656
epiforecasts-arimareg,inc hosp,HR,0.38188835558682976
epiforecasts-arimareg,inc hosp,IE,0.1363058479470879
epiforecasts-arimareg,inc hosp,NL,0.21965028009904
epiforecasts-arimareg,inc hosp,NO,0.12692540251875023
epiforecasts-arimareg,inc hosp,SI,0.16180620949047125
epiforecasts-caseconv,inc hosp,BE,0.17429759547641024
epiforecasts-caseconv,inc hosp,DK,0.17182121233046668
epiforecasts-caseconv,inc hosp,EE,0.28584094481533995
epiforecasts-caseconv,inc hosp,FR,0.1467493739396085
epiforecasts-caseconv,inc hosp,HR,0.048158487319578086
epiforecasts-caseconv,inc hosp,IE,0.3011710164164228
epiforecasts-caseconv,inc hosp,NL,0.25373394425233936
epiforecasts-caseconv,inc hosp,NO,0.09879854423247224
epiforecasts-caseconv,inc hosp,SI,0.2174011635205306
epiforecasts-tsensemble,inc hosp,BE,0.12044955784955176
epiforecasts-tsensemble,inc hosp,DK,0.14469154722565614
epiforecasts-tsensemble,inc hosp,EE,0.07868655222444751
epiforecasts-tsensemble,inc hosp,FR,0.1884570907434972
epiforecasts-tsensemble,inc hosp,HR,0.18928379363868952
epiforecasts-tsensemble,inc hosp,IE,0.13992458727311677
epiforecasts-tsensemble,inc hosp,NL,0.13563657849433808
epiforecasts-tsensemble,inc hosp,NO,0.2980607767013348
epiforecasts-tsensemble,inc hosp,SI,0.16058040487311923
HZI-AgeExtendedSEIR,inc case,DE,0.09804158922118639
HZI-AgeExtendedSEIR,inc death,DE,0.15487305872939536
IEM_Health-CovidProject,inc case,AT,0.1712122405184437
IEM_Health-CovidProject,inc death,AT,0.09700994566350843
IEM_Health-CovidProject,inc case,BE,0.22187708066440587
IEM_Health-CovidProject,inc death,BE,0.16473613667129183
IEM_Health-CovidProject,inc case,BG,0.16269124997452414
IEM_Health-CovidProject,inc death,BG,0.14644081284955454
IEM_Health-CovidProject,inc case,CH,0.11457595057747251
IEM_Health-CovidProject,inc death,CH,0.06458233524246118
IEM_Health-CovidProject,inc case,CY,0.3126316040837631
IEM_Health-CovidProject,inc death,CY,0.11226937943055437
IEM_Health-CovidProject,inc case,CZ,0.18233375624533557
IEM_Health-CovidProject,inc death,CZ,0.1163907960495287
IEM_Health-CovidProject,inc case,DE,0.09296016538960052
IEM_Health-CovidProject,inc death,DE,0.09748140753812079
IEM_Health-CovidProject,inc case,DK,0.14392557437205314
IEM_Health-CovidProject,inc death,DK,0.10297412353680019
IEM_Health-CovidProject,inc case,EE,0.24249688772384054
IEM_Health-CovidProject,inc death,EE,0.1176313861538352
IEM_Health-CovidProject,inc case,ES,0.13769114396249277
IEM_Health-CovidProject,inc death,ES,0.09779008432627785
IEM_Health-CovidProject,inc case,FI,0.17807150340165137
IEM_Health-CovidProject,inc death,FI,0.10942132265590589
IEM_Health-CovidProject,inc case,FR,0.13639932631932303
IEM_Health-CovidProject,inc death,FR,0.0632243579674655
IEM_Health-CovidProject,inc case,GB,0.2692674349893511
IEM_Health-CovidProject,inc death,GB,0.17451556872812696
IEM_Health-CovidProject,inc case,GR,0.16215715277246184
IEM_Health-CovidProject,inc death,GR,0.09297961732423835
IEM_Health-CovidProject,inc case,HR,0.20404423160481372
IEM_Health-CovidProject,inc death,HR,0.10533398804057421
IEM_Health-CovidProject,inc case,HU,0.23065010927706528
IEM_Health-CovidProject,inc death,HU,0.12172361675133239
IEM_Health-CovidProject,inc case,IE,0.12927730038598229
IEM_Health-CovidProject,inc death,IE,0.11614630830132923
IEM_Health-CovidProject,inc case,IT,0.19093054094199255
IEM_Health-CovidProject,inc death,IT,0.12217222765187996
IEM_Health-CovidProject,inc case,LI,0.10191199407729615
IEM_Health-CovidProject,inc death,LI,0.08135272775172354
IEM_Health-CovidProject,inc case,LT,0.23450451732435523
IEM_Health-CovidProject,inc death,LT,0.14962759497599284
IEM_Health-CovidProject,inc case,LU,0.22243220796672178
IEM_Health-CovidProject,inc death,LU,0.065185976685911
IEM_Health-CovidProject,inc case,LV,0.230608544458102
IEM_Health-CovidProject,inc death,LV,0.13755831587168174
IEM_Health-CovidProject,inc case,MT,0.29270339234831105
IEM_Health-CovidProject,inc death,MT,0.1930329682583837
IEM_Health-CovidProject,inc case,NL,0.2330467337263936
IEM_Health-CovidProject,inc death,NL,0.10271530175455902
IEM_Health-CovidProject,inc case,NO,0.14464682576997914
IEM_Health-CovidProject,inc death,NO,0.11525438570451503
IEM_Health-CovidProject,inc case,Overall,0.1975913677385081
IEM_Health-CovidProject,inc death,Overall,0.13218726171130804
IEM_Health-CovidProject,inc case,PL,0.15045549040730577
IEM_Health-CovidProject,inc death,PL,0.11123588754815096
IEM_Health-CovidProject,inc case,PT,0.1603291571189684
IEM_Health-CovidProject,inc death,PT,0.14953952866421036
IEM_Health-CovidProject,inc case,RO,0.15609326097278703
IEM_Health-CovidProject,inc death,RO,0.239107616082953
IEM_Health-CovidProject,inc case,SE,0.13044304126827863
IEM_Health-CovidProject,inc death,SE,0.08629297096936936
IEM_Health-CovidProject,inc case,SI,0.17934631653172078
IEM_Health-CovidProject,inc death,SI,0.0979892561666553
IEM_Health-CovidProject,inc case,SK,0.23425424146266055
IEM_Health-CovidProject,inc death,SK,0.09444425608108467
ILM-EKF,inc case,AT,0.13438002743212302
ILM-EKF,inc death,AT,0.12601543192973327
ILM-EKF,inc case,BE,0.19749498388809753
ILM-EKF,inc death,BE,0.12943553595601504
ILM-EKF,inc case,BG,0.09011131733502739
ILM-EKF,inc death,BG,0.12869041129203276
ILM-EKF,inc case,CH,0.12346929732346003
ILM-EKF,inc death,CH,0.08980321452832428
ILM-EKF,inc case,CY,0.052400314161264935
ILM-EKF,inc death,CY,0.10040351005984538
ILM-EKF,inc case,CZ,0.18153052383896842
ILM-EKF,inc death,CZ,0.1330180526280328
ILM-EKF,inc case,DE,0.08837951955880861
ILM-EKF,inc death,DE,0.07001110874068557
ILM-EKF,inc case,DK,0.11914080778834613
ILM-EKF,inc death,DK,0.10422337633534023
ILM-EKF,inc case,EE,0.09933607448928405
ILM-EKF,inc death,EE,0.11487440054085468
ILM-EKF,inc case,ES,0.16579137742422598
ILM-EKF,inc death,ES,0.20447017631858094
ILM-EKF,inc case,FI,0.09645539767589449
ILM-EKF,inc death,FI,0.11027064728195432
ILM-EKF,inc case,FR,0.06090124498561925
ILM-EKF,inc death,FR,0.1379896701670874
ILM-EKF,inc case,GB,0.17120822224726728
ILM-EKF,inc death,GB,0.11359234090637095
ILM-EKF,inc case,GR,0.1314421489046975
ILM-EKF,inc death,GR,0.16444902467048128
ILM-EKF,inc case,HR,0.14963243651019673
ILM-EKF,inc death,HR,0.12335446664629363
ILM-EKF,inc case,HU,0.21521289723883652
ILM-EKF,inc death,HU,0.1669511991222403
ILM-EKF,inc case,IE,0.12357830106502253
ILM-EKF,inc death,IE,0.11587991768595922
ILM-EKF,inc case,IS,0.04188017453293008
ILM-EKF,inc death,IS,0.04276697833202332
ILM-EKF,inc case,IT,0.11631400770029432
ILM-EKF,inc death,IT,0.1488473865278363
ILM-EKF,inc case,LI,0.18429330341067243
ILM-EKF,inc death,LI,0.03551704566366608
ILM-EKF,inc case,LT,0.07299425047305513
ILM-EKF,inc death,LT,0.09462614702039071
ILM-EKF,inc case,LU,0.15624130871018868
ILM-EKF,inc death,LU,0.10781289986905451
ILM-EKF,inc case,LV,0.2134558428041936
ILM-EKF,inc death,LV,0.13809988404440487
ILM-EKF,inc case,MT,0.003028385360549682
ILM-EKF,inc death,MT,0.012679974081207593
ILM-EKF,inc case,NL,0.16383563879140894
ILM-EKF,inc death,NL,0.06931322652750395
ILM-EKF,inc case,NO,0.1305902376857492
ILM-EKF,inc death,NO,0.06695838698436986
ILM-EKF,inc case,Overall,0.1317275784923387
ILM-EKF,inc death,Overall,0.12410915127339477
ILM-EKF,inc case,PL,0.15797826492767106
ILM-EKF,inc death,PL,0.11123588754815096
ILM-EKF,inc case,PT,0.17667124751401478
ILM-EKF,inc death,PT,0.12018207518412001
ILM-EKF,inc case,RO,0.11618592240692886
ILM-EKF,inc death,RO,0.12501565713981805
ILM-EKF,inc case,SE,0.13650009791091844
ILM-EKF,inc death,SE,0.01271435548520494
ILM-EKF,inc case,SI,0.10176145165954255
ILM-EKF,inc death,SI,0.05016200911347191
ILM-EKF,inc case,SK,0.16279933133096852
ILM-EKF,inc death,SK,0.1511571059336968
Karlen-pypm,inc case,AT,0.1112046124090587
Karlen-pypm,inc death,AT,0.17235100312039126
Karlen-pypm,inc case,BE,0.16859327892886372
Karlen-pypm,inc death,BE,0.17806738472561606
Karlen-pypm,inc hosp,BE,0.17378645883278435
Karlen-pypm,inc case,BG,0.08905570019904732
Karlen-pypm,inc death,BG,0.17526408395010176
Karlen-pypm,inc case,CH,0.07855289451113959
Karlen-pypm,inc death,CH,0.17282882796017124
Karlen-pypm,inc case,CY,0.18582119439516842
Karlen-pypm,inc death,CY,0.1789801701066809
Karlen-pypm,inc case,CZ,0.14357989167751162
