model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,AT,0.034970355357888075
epiforecasts-EpiExpert,inc death,AT,0.06330350209647803
epiforecasts-EpiExpert,inc case,BE,0.09372525601722131
epiforecasts-EpiExpert,inc death,BE,0.3848949612854524
epiforecasts-EpiExpert,inc case,BG,0.5164140790681916
epiforecasts-EpiExpert,inc death,BG,0.23444937605573798
epiforecasts-EpiExpert,inc case,CH,0.1085720648894772
epiforecasts-EpiExpert,inc death,CH,0.09178397983069995
epiforecasts-EpiExpert,inc case,DE,0.09057737351681265
epiforecasts-EpiExpert,inc death,DE,0.07650455135438591
epiforecasts-EpiExpert,inc case,FR,0.04897789902376705
epiforecasts-EpiExpert,inc death,FR,0.10422404290154806
epiforecasts-EpiExpert,inc case,GB,0.11391158171951396
epiforecasts-EpiExpert,inc death,GB,0.17691778787053147
epiforecasts-EpiExpert,inc case,GR,0.052585943476083676
epiforecasts-EpiExpert,inc case,IT,0.1359846760902676
epiforecasts-EpiExpert,inc case,LV,0.064739143420684
epiforecasts-EpiExpert,inc case,NL,0.06058654241447227
epiforecasts-EpiExpert,inc death,NL,0.19845285971350735
epiforecasts-EpiExpert,inc case,PL,0.037624896048474105
epiforecasts-EpiExpert,inc death,PL,0.09162294731473233
epiforecasts-EpiExpert,inc death,PT,0.3021206434674487
epiforecasts-EpiExpert,inc case,SE,0.11316365949711145
epiforecasts-EpiExpert,inc death,SE,0.1150003741540577
epiforecasts-EpiNow2,inc case,AT,0.04419072709654505
epiforecasts-EpiNow2,inc death,AT,0.07874338065659463
epiforecasts-EpiNow2,inc case,BE,0.11689718278162657
epiforecasts-EpiNow2,inc death,BE,0.08226762531292113
epiforecasts-EpiNow2,inc case,BG,0.0741517651995352
epiforecasts-EpiNow2,inc death,BG,0.1281881480592524
epiforecasts-EpiNow2,inc case,CH,0.04065543213568232
epiforecasts-EpiNow2,inc death,CH,0.01791775171872746
epiforecasts-EpiNow2,inc case,CY,0.11081920461542596
epiforecasts-EpiNow2,inc death,CY,0.15571843090146223
epiforecasts-EpiNow2,inc case,CZ,0.1065811243125459
epiforecasts-EpiNow2,inc death,CZ,0.12229551697122136
epiforecasts-EpiNow2,inc case,DE,0.057304052633085543
epiforecasts-EpiNow2,inc death,DE,0.043383678511938355
epiforecasts-EpiNow2,inc case,DK,0.06245077765274443
epiforecasts-EpiNow2,inc death,DK,0.0822714877686227
epiforecasts-EpiNow2,inc case,EE,0.10221657976197636
epiforecasts-EpiNow2,inc death,EE,0.1788860297672588
epiforecasts-EpiNow2,inc case,ES,0.13783150825536342
epiforecasts-EpiNow2,inc death,ES,0.09994040218130873
epiforecasts-EpiNow2,inc case,FI,0.08831454875170916
epiforecasts-EpiNow2,inc death,FI,0.1108566066929078
epiforecasts-EpiNow2,inc case,FR,0.09036112383182338
epiforecasts-EpiNow2,inc death,FR,0.06348418920142257
epiforecasts-EpiNow2,inc case,GB,0.11662376223664525
epiforecasts-EpiNow2,inc death,GB,0.11389082594165463
epiforecasts-EpiNow2,inc case,GR,0.059271802835982504
epiforecasts-EpiNow2,inc death,GR,0.059367421200367594
epiforecasts-EpiNow2,inc case,HR,0.14617927850257678
epiforecasts-EpiNow2,inc death,HR,0.17848265725011003
epiforecasts-EpiNow2,inc case,HU,0.18032668026683027
epiforecasts-EpiNow2,inc death,HU,0.19275572135275865
epiforecasts-EpiNow2,inc case,IE,0.0970810199823418
epiforecasts-EpiNow2,inc death,IE,0.08859574991108699
epiforecasts-EpiNow2,inc case,IS,0.03887307587072361
epiforecasts-EpiNow2,inc death,IS,NA
epiforecasts-EpiNow2,inc case,IT,0.06709474942407594
epiforecasts-EpiNow2,inc death,IT,0.09857558720630727
epiforecasts-EpiNow2,inc case,LI,0.11248267226773818
epiforecasts-EpiNow2,inc case,LT,0.10046500019075003
epiforecasts-EpiNow2,inc death,LT,0.11126418324040685
epiforecasts-EpiNow2,inc case,LU,0.04356332165891945
epiforecasts-EpiNow2,inc death,LU,0.1002469047081457
epiforecasts-EpiNow2,inc case,LV,0.1819251878404031
epiforecasts-EpiNow2,inc death,LV,0.17247517639950272
epiforecasts-EpiNow2,inc case,MT,0.08097433892665454
epiforecasts-EpiNow2,inc death,MT,0.00973446418103325
epiforecasts-EpiNow2,inc case,NL,0.07003393546893236
epiforecasts-EpiNow2,inc death,NL,0.03356730526752633
epiforecasts-EpiNow2,inc case,NO,0.12570129474729988
epiforecasts-EpiNow2,inc death,NO,0.14300043497876355
epiforecasts-EpiNow2,inc case,Overall,0.10585306322724455
epiforecasts-EpiNow2,inc death,Overall,0.09886273977432157
epiforecasts-EpiNow2,inc case,PL,0.10570804127904632
epiforecasts-EpiNow2,inc death,PL,0.07454070290012121
epiforecasts-EpiNow2,inc case,PT,0.13632998543264832
epiforecasts-EpiNow2,inc death,PT,0.13191183024635086
epiforecasts-EpiNow2,inc case,RO,0.19733614731967475
epiforecasts-EpiNow2,inc death,RO,0.11571137913389981
epiforecasts-EpiNow2,inc case,SE,0.12497535459613655
epiforecasts-EpiNow2,inc death,SE,0.10359947499223304
epiforecasts-EpiNow2,inc case,SI,0.021437089451213847
epiforecasts-EpiNow2,inc death,SI,0.06353972295273787
epiforecasts-EpiNow2,inc case,SK,0.1267096328964886
epiforecasts-EpiNow2,inc death,SK,0.1893900925480474
HZI-AgeExtendedSEIR,inc case,DE,0.08595607894962831
HZI-AgeExtendedSEIR,inc death,DE,0.10021018698532241
IEM_Health-CovidProject,inc case,AT,0.14225595173363112
IEM_Health-CovidProject,inc death,AT,0.11957328173779184
IEM_Health-CovidProject,inc case,BE,0.1515748159512957
IEM_Health-CovidProject,inc death,BE,0.07924308026465199
IEM_Health-CovidProject,inc case,BG,0.035791074786904374
IEM_Health-CovidProject,inc death,BG,0.05729309511329932
IEM_Health-CovidProject,inc case,CH,0.1560534414567416
IEM_Health-CovidProject,inc death,CH,0.11501560958037918
IEM_Health-CovidProject,inc case,CY,0.12593091433571135
IEM_Health-CovidProject,inc death,CY,0.12450972658718172
IEM_Health-CovidProject,inc case,CZ,0.15026191296522867
IEM_Health-CovidProject,inc death,CZ,0.10631371645793673
IEM_Health-CovidProject,inc case,DE,0.05297921847209795
IEM_Health-CovidProject,inc death,DE,0.06497646827358805
IEM_Health-CovidProject,inc case,DK,0.14126280356040308
IEM_Health-CovidProject,inc death,DK,0.144051564085581
IEM_Health-CovidProject,inc case,EE,0.1142742996266599
IEM_Health-CovidProject,inc death,EE,0.11040160913028843
IEM_Health-CovidProject,inc case,ES,0.12695591420622843
IEM_Health-CovidProject,inc death,ES,0.12035833380974816
IEM_Health-CovidProject,inc case,FI,0.15974025949512335
