model,target_variable,location,weight
CovidMetrics-epiBATS,inc case,DE,0.09198730819390746
epiforecasts-EpiExpert,inc case,AT,0.10907917384786889
epiforecasts-EpiExpert,inc death,AT,0.08970254298861836
epiforecasts-EpiExpert,inc case,BE,0.15076777563595162
epiforecasts-EpiExpert,inc death,BE,0.10137682363991496
epiforecasts-EpiExpert,inc case,BG,0.1682804935588329
epiforecasts-EpiExpert,inc death,BG,0.09964935009660918
epiforecasts-EpiExpert,inc case,CH,0.16071363241269776
epiforecasts-EpiExpert,inc death,CH,0.0824650841142384
epiforecasts-EpiExpert,inc case,CY,0.088165860462798007
epiforecasts-EpiExpert,inc death,CY,0.022750987045795444
epiforecasts-EpiExpert,inc case,CZ,0.09528425057689784
epiforecasts-EpiExpert,inc death,CZ,0.06555882445063664
epiforecasts-EpiExpert,inc case,DE,0.10177319204432314
epiforecasts-EpiExpert,inc death,DE,0.13264319933192364
epiforecasts-EpiExpert,inc case,DK,0.04432395584695636
epiforecasts-EpiExpert,inc death,DK,0.11497723476386326
epiforecasts-EpiExpert,inc case,EE,0.17242524758787084
epiforecasts-EpiExpert,inc death,EE,0.20344183022093354
epiforecasts-EpiExpert,inc case,ES,0.12946177793161234
epiforecasts-EpiExpert,inc death,ES,0.08611677180898117
epiforecasts-EpiExpert,inc case,FI,0.1729518618192349
epiforecasts-EpiExpert,inc death,FI,0.07522761237209558
epiforecasts-EpiExpert,inc case,FR,0.12975469565976505
epiforecasts-EpiExpert,inc death,FR,0.07533753204079277
epiforecasts-EpiExpert,inc case,GB,0.09462715255858999
epiforecasts-EpiExpert,inc death,GB,0.12210679513998121
epiforecasts-EpiExpert,inc case,GR,0.13701850987672082
epiforecasts-EpiExpert,inc death,GR,0.10360400864325262
epiforecasts-EpiExpert,inc case,HR,0.10431843693512355
epiforecasts-EpiExpert,inc death,HR,0.14493312532644553
epiforecasts-EpiExpert,inc case,HU,0.1290354615232743
epiforecasts-EpiExpert,inc death,HU,0.17391934713077253
epiforecasts-EpiExpert,inc case,IE,0.15375371793164397
epiforecasts-EpiExpert,inc death,IE,0.051529236009854464
epiforecasts-EpiExpert,inc case,IS,0.028137592062741298
epiforecasts-EpiExpert,inc death,IS,NA
epiforecasts-EpiExpert,inc case,IT,0.10511906639576629
epiforecasts-EpiExpert,inc death,IT,0.061199184111211065
epiforecasts-EpiExpert,inc case,LI,0.10814088517234241
epiforecasts-EpiExpert,inc case,LT,0.0909561019387738
epiforecasts-EpiExpert,inc death,LT,0.07615029830631623
epiforecasts-EpiExpert,inc case,LU,0.13053791856606983
epiforecasts-EpiExpert,inc death,LU,0.0840808678156642
epiforecasts-EpiExpert,inc case,LV,0.11069209152979684
epiforecasts-EpiExpert,inc death,LV,0.12720371118507787
epiforecasts-EpiExpert,inc case,MT,0.12196018646478639
epiforecasts-EpiExpert,inc death,MT,0.10636319635318187
epiforecasts-EpiExpert,inc case,NL,0.09750787668742499
epiforecasts-EpiExpert,inc death,NL,0.12399018942084562
epiforecasts-EpiExpert,inc case,NO,0.11088438422859337
epiforecasts-EpiExpert,inc death,NO,0.1314618183535161
epiforecasts-EpiExpert,inc case,Overall,0.12195826265410938
epiforecasts-EpiExpert,inc death,Overall,0.09978197391771508
epiforecasts-EpiExpert,inc case,PL,0.067232725617191
epiforecasts-EpiExpert,inc death,PL,0.07327395050179021
epiforecasts-EpiExpert,inc case,PT,0.14573167580553914
epiforecasts-EpiExpert,inc death,PT,0.1050408727256693
epiforecasts-EpiExpert,inc case,RO,0.14894033590622774
epiforecasts-EpiExpert,inc death,RO,0.06673258298677119
epiforecasts-EpiExpert,inc case,SE,0.14189781906081356
epiforecasts-EpiExpert,inc death,SE,0.17303945609704
epiforecasts-EpiExpert,inc case,SI,0.09845476397039123
epiforecasts-EpiExpert,inc death,SI,0.0846046394898924
epiforecasts-EpiExpert,inc case,SK,0.10357215289394317
epiforecasts-EpiExpert,inc death,SK,0.09551517111528911
epiforecasts-EpiNow2,inc case,AT,0.14045811426985857
epiforecasts-EpiNow2,inc death,AT,0.11742178374046609
epiforecasts-EpiNow2,inc case,BE,0.10293799853764973
epiforecasts-EpiNow2,inc death,BE,0.08127624653889734
epiforecasts-EpiNow2,inc case,BG,0.14939186673080065
epiforecasts-EpiNow2,inc death,BG,0.08026467408997397
epiforecasts-EpiNow2,inc case,CH,0.08593505673099225
epiforecasts-EpiNow2,inc death,CH,0.06763990045325173
epiforecasts-EpiNow2,inc case,CY,0.13266078069635961
epiforecasts-EpiNow2,inc death,CY,0.13510893184213613
epiforecasts-EpiNow2,inc case,CZ,0.1331368980663504
epiforecasts-EpiNow2,inc death,CZ,0.13738849297916028
epiforecasts-EpiNow2,inc case,DE,0.058932320649895543
epiforecasts-EpiNow2,inc death,DE,0.05397675762287522
epiforecasts-EpiNow2,inc case,DK,0.11093055374401598
epiforecasts-EpiNow2,inc death,DK,0.07259511538010344
epiforecasts-EpiNow2,inc case,EE,0.15000223332756474
epiforecasts-EpiNow2,inc death,EE,0.08910436749986624
epiforecasts-EpiNow2,inc case,ES,0.06856111908212606
epiforecasts-EpiNow2,inc death,ES,0.09433897615255224
epiforecasts-EpiNow2,inc case,FI,0.09055681753681287
