model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,AT,0.10218814801530864
epiforecasts-EpiExpert,inc death,AT,0.0889867445577596
epiforecasts-EpiExpert,inc case,BE,0.14231186468310564
epiforecasts-EpiExpert,inc death,BE,0.10392115443417117
epiforecasts-EpiExpert,inc case,BG,0.2221107752380351
epiforecasts-EpiExpert,inc death,BG,0.10574475394104475
epiforecasts-EpiExpert,inc case,CH,0.13796003246200597
epiforecasts-EpiExpert,inc death,CH,0.08425483157108919
epiforecasts-EpiExpert,inc case,CY,0.09708890822913893
epiforecasts-EpiExpert,inc death,CY,0.023397287948806144
epiforecasts-EpiExpert,inc case,CZ,0.09684990271802
epiforecasts-EpiExpert,inc death,CZ,0.06578280278999049
epiforecasts-EpiExpert,inc case,DE,0.09502603436697935
epiforecasts-EpiExpert,inc death,DE,0.12005545025692634
epiforecasts-EpiExpert,inc case,DK,0.04646514316396984
epiforecasts-EpiExpert,inc death,DK,0.11552676812804576
epiforecasts-EpiExpert,inc case,EE,0.16713555931549623
epiforecasts-EpiExpert,inc death,EE,0.20148702201971197
epiforecasts-EpiExpert,inc case,ES,0.1234141690567182
epiforecasts-EpiExpert,inc death,ES,0.08721773356536394
epiforecasts-EpiExpert,inc case,FI,0.17140860305136005
epiforecasts-EpiExpert,inc death,FI,0.07452330278540865
epiforecasts-EpiExpert,inc case,FR,0.1151632528087471
epiforecasts-EpiExpert,inc death,FR,0.07634287315341028
epiforecasts-EpiExpert,inc case,GB,0.12597004782825552
epiforecasts-EpiExpert,inc death,GB,0.126999773209219
epiforecasts-EpiExpert,inc case,GR,0.10297276540755797
epiforecasts-EpiExpert,inc death,GR,0.10288272732661961
epiforecasts-EpiExpert,inc case,HR,0.11228479579128246
epiforecasts-EpiExpert,inc death,HR,0.14665532239505363
epiforecasts-EpiExpert,inc case,HU,0.13469380440472078
epiforecasts-EpiExpert,inc death,HU,0.17460391431859668
epiforecasts-EpiExpert,inc case,IE,0.13060093123450725
epiforecasts-EpiExpert,inc death,IE,0.05104430029752694
epiforecasts-EpiExpert,inc case,IS,0.03042746340392379
epiforecasts-EpiExpert,inc death,IS,NA
epiforecasts-EpiExpert,inc case,IT,0.09891772308008058
epiforecasts-EpiExpert,inc death,IT,0.06010892712588694
epiforecasts-EpiExpert,inc case,LI,0.10921953933960603
epiforecasts-EpiExpert,inc case,LT,0.09008230544449278
epiforecasts-EpiExpert,inc death,LT,0.07808597419750957
epiforecasts-EpiExpert,inc case,LU,0.1316635988417681
epiforecasts-EpiExpert,inc death,LU,0.07988301940387177
epiforecasts-EpiExpert,inc case,LV,0.09427817682544816
epiforecasts-EpiExpert,inc death,LV,0.126544291004315
epiforecasts-EpiExpert,inc case,MT,0.11909382228948472
epiforecasts-EpiExpert,inc death,MT,0.11731178857350213
epiforecasts-EpiExpert,inc case,NL,0.09711464342523476
epiforecasts-EpiExpert,inc death,NL,0.1269190256637292
epiforecasts-EpiExpert,inc case,NO,0.11153359627023687
epiforecasts-EpiExpert,inc death,NO,0.13313158207926476
epiforecasts-EpiExpert,inc case,Overall,0.1295678838182545
epiforecasts-EpiExpert,inc death,Overall,0.1007065614657286
epiforecasts-EpiExpert,inc case,PL,0.06639101194888287
epiforecasts-EpiExpert,inc death,PL,0.07177095522154854
epiforecasts-EpiExpert,inc case,PT,0.14555569126185905
epiforecasts-EpiExpert,inc death,PT,0.10930060601839997
epiforecasts-EpiExpert,inc case,RO,0.14389836118205612
epiforecasts-EpiExpert,inc death,RO,0.06525432871996424
epiforecasts-EpiExpert,inc case,SE,0.12246296134830513
epiforecasts-EpiExpert,inc death,SE,0.15363003804255843
epiforecasts-EpiExpert,inc case,SI,0.09835622992187297
epiforecasts-EpiExpert,inc death,SI,0.08467376256212622
epiforecasts-EpiExpert,inc case,SK,0.10562402974700638
epiforecasts-EpiExpert,inc death,SK,0.09529789993384556
epiforecasts-EpiNow2,inc case,AT,0.14200794278183737
epiforecasts-EpiNow2,inc death,AT,0.11920084852388263
epiforecasts-EpiNow2,inc case,BE,0.10938897061462596
epiforecasts-EpiNow2,inc death,BE,0.08213123495603851
epiforecasts-EpiNow2,inc case,BG,0.1484969183020006
epiforecasts-EpiNow2,inc death,BG,0.08134211841618826
epiforecasts-EpiNow2,inc case,CH,0.07494445372466114
epiforecasts-EpiNow2,inc death,CH,0.0703947294078797
epiforecasts-EpiNow2,inc case,CY,0.13174596154637586
epiforecasts-EpiNow2,inc death,CY,0.12478553572696609
epiforecasts-EpiNow2,inc case,CZ,0.14112414396054346
epiforecasts-EpiNow2,inc death,CZ,0.13855138994705965
epiforecasts-EpiNow2,inc case,DE,0.06311072484473629
epiforecasts-EpiNow2,inc death,DE,0.0512799661901444
epiforecasts-EpiNow2,inc case,DK,0.10809538049151238
