model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,DE,0.14285714285714285
epiforecasts-EpiExpert,inc case,PL,0.09090909090909091
epiforecasts-EpiExpert,inc death,DE,0.2
epiforecasts-EpiExpert,inc death,GB,0.1111111111111111
epiforecasts-EpiExpert,inc death,NL,0.2
epiforecasts-EpiExpert,inc death,PL,0.1
epiforecasts-EpiNow2,inc case,BG,0.16666666666666666
epiforecasts-EpiNow2,inc case,CZ,0.125
epiforecasts-EpiNow2,inc case,HR,0.25
epiforecasts-EpiNow2,inc case,HU,0.16666666666666666
epiforecasts-EpiNow2,inc case,LV,0.5
epiforecasts-EpiNow2,inc case,PL,0.09090909090909091
epiforecasts-EpiNow2,inc case,RO,0.2
epiforecasts-EpiNow2,inc case,SK,0.14285714285714285
epiforecasts-EpiNow2,inc death,BE,0.14285714285714285
epiforecasts-EpiNow2,inc death,BG,0.16666666666666666
epiforecasts-EpiNow2,inc death,CZ,0.1111111111111111
epiforecasts-EpiNow2,inc death,EE,0.25
epiforecasts-EpiNow2,inc death,GB,0.1111111111111111
epiforecasts-EpiNow2,inc death,HR,0.2
epiforecasts-EpiNow2,inc death,HU,0.125
epiforecasts-EpiNow2,inc death,IT,0.16666666666666666
epiforecasts-EpiNow2,inc death,LV,1
epiforecasts-EpiNow2,inc death,PL,0.1
epiforecasts-EpiNow2,inc death,PT,0.16666666666666666
epiforecasts-EpiNow2,inc death,SK,0.2
HZI-AgeExtendedSEIR,inc death,DE,0.2
IEM_Health-CovidProject,inc case,CZ,0.125
IEM_Health-CovidProject,inc case,FI,0.2
IEM_Health-CovidProject,inc case,SK,0.14285714285714285
IEM_Health-CovidProject,inc death,AT,0.3333333333333333
IEM_Health-CovidProject,inc death,BE,0.14285714285714285
IEM_Health-CovidProject,inc death,CH,0.3333333333333333
IEM_Health-CovidProject,inc death,CZ,0.1111111111111111
IEM_Health-CovidProject,inc death,DK,0.5
IEM_Health-CovidProject,inc death,EE,0.25
IEM_Health-CovidProject,inc death,ES,0.2
IEM_Health-CovidProject,inc death,GB,0.1111111111111111
IEM_Health-CovidProject,inc death,GR,0.3333333333333333
IEM_Health-CovidProject,inc death,HU,0.125
IEM_Health-CovidProject,inc death,LI,0.3333333333333333
IEM_Health-CovidProject,inc death,NL,0.2
IEM_Health-CovidProject,inc death,PT,0.16666666666666666
IEM_Health-CovidProject,inc death,SI,0.3333333333333333
IEM_Health-CovidProject,inc death,SK,0.2
ILM-EKF,inc case,BG,0.16666666666666666
ILM-EKF,inc case,CZ,0.125
ILM-EKF,inc case,FI,0.2
ILM-EKF,inc case,HU,0.16666666666666666
ILM-EKF,inc case,PL,0.09090909090909091
ILM-EKF,inc case,RO,0.2
ILM-EKF,inc case,SE,1
ILM-EKF,inc case,SK,0.14285714285714285
ILM-EKF,inc death,BE,0.14285714285714285
ILM-EKF,inc death,BG,0.16666666666666666
ILM-EKF,inc death,CZ,0.1111111111111111
ILM-EKF,inc death,GB,0.1111111111111111
ILM-EKF,inc death,HR,0.2
ILM-EKF,inc death,HU,0.125
ILM-EKF,inc death,IT,0.16666666666666666
ILM-EKF,inc death,PL,0.1
ILM-EKF,inc death,PT,0.16666666666666666
ILM-EKF,inc death,RO,0.5
ILM-EKF,inc death,SK,0.2
itwm-dSEIR,inc case,DE,0.14285714285714285
ITWW-county_repro,inc case,PL,0.09090909090909091
Karlen-pypm,inc case,BG,0.16666666666666666
Karlen-pypm,inc case,FI,0.2
Karlen-pypm,inc case,HR,0.25
Karlen-pypm,inc case,PL,0.09090909090909091
Karlen-pypm,inc case,SK,0.14285714285714285
Karlen-pypm,inc death,BG,0.16666666666666666
Karlen-pypm,inc death,CZ,0.1111111111111111
Karlen-pypm,inc death,EE,0.25
Karlen-pypm,inc death,GB,0.1111111111111111
Karlen-pypm,inc death,HR,0.2
Karlen-pypm,inc death,HU,0.125
Karlen-pypm,inc death,PL,0.1
Karlen-pypm,inc death,PT,0.16666666666666666
Karlen-pypm,inc hosp,BE,1
Karlen-pypm,inc hosp,EE,1
Karlen-pypm,inc hosp,FR,1
Karlen-pypm,inc hosp,HR,1
Karlen-pypm,inc hosp,SI,1
LANL-GrowthRate,inc case,AT,0.5
LANL-GrowthRate,inc case,BG,0.16666666666666666
LANL-GrowthRate,inc case,CZ,0.125
LANL-GrowthRate,inc case,DE,0.14285714285714285
LANL-GrowthRate,inc case,EE,0.5
LANL-GrowthRate,inc case,FI,0.2
LANL-GrowthRate,inc case,FR,1
LANL-GrowthRate,inc case,HR,0.25
LANL-GrowthRate,inc case,HU,0.16666666666666666
LANL-GrowthRate,inc case,IE,1
LANL-GrowthRate,inc case,IT,0.5
LANL-GrowthRate,inc case,LT,0.5
LANL-GrowthRate,inc case,LV,0.5
LANL-GrowthRate,inc case,PL,0.09090909090909091
LANL-GrowthRate,inc case,RO,0.2
LANL-GrowthRate,inc case,SK,0.14285714285714285
LANL-GrowthRate,inc death,AT,0.3333333333333333
LANL-GrowthRate,inc death,BE,0.14285714285714285
LANL-GrowthRate,inc death,BG,0.16666666666666666
LANL-GrowthRate,inc death,CZ,0.1111111111111111
LANL-GrowthRate,inc death,DE,0.2
LANL-GrowthRate,inc death,DK,0.5
LANL-GrowthRate,inc death,ES,0.2
LANL-GrowthRate,inc death,GB,0.1111111111111111
LANL-GrowthRate,inc death,GR,0.3333333333333333
LANL-GrowthRate,inc death,HU,0.125
LANL-GrowthRate,inc death,IE,0.25
LANL-GrowthRate,inc death,IT,0.16666666666666666
LANL-GrowthRate,inc death,LI,0.3333333333333333
LANL-GrowthRate,inc death,NL,0.2
LANL-GrowthRate,inc death,PL,0.1
LANL-GrowthRate,inc death,SE,0.3333333333333333
MIT_CovidAnalytics-DELPHI,inc case,DE,0.14285714285714285
MIT_CovidAnalytics-DELPHI,inc case,PL,0.09090909090909091
MIT_CovidAnalytics-DELPHI,inc death,DE,0.2
MIT_CovidAnalytics-DELPHI,inc death,PL,0.1
MOCOS-agent1,inc case,PL,0.09090909090909091
MOCOS-agent1,inc death,PL,0.1
MUNI_DMS-SEIAR,inc case,CZ,0.125
MUNI_DMS-SEIAR,inc death,CZ,0.1111111111111111
MUNI-ARIMA,inc case,AT,0.5
MUNI-ARIMA,inc case,BG,0.16666666666666666
MUNI-ARIMA,inc case,CZ,0.125
MUNI-ARIMA,inc case,DE,0.14285714285714285
MUNI-ARIMA,inc case,EE,0.5
MUNI-ARIMA,inc case,FI,0.2
MUNI-ARIMA,inc case,GR,1
MUNI-ARIMA,inc case,HR,0.25
MUNI-ARIMA,inc case,HU,0.16666666666666666
MUNI-ARIMA,inc case,IT,0.5
MUNI-ARIMA,inc case,LT,0.5
MUNI-ARIMA,inc case,PL,0.09090909090909091
MUNI-ARIMA,inc case,RO,0.2
MUNI-ARIMA,inc case,SI,1
MUNI-ARIMA,inc case,SK,0.14285714285714285
MUNI-ARIMA,inc death,BE,0.14285714285714285
MUNI-ARIMA,inc death,CZ,0.1111111111111111
MUNI-ARIMA,inc death,ES,0.2
MUNI-ARIMA,inc death,GB,0.1111111111111111
MUNI-ARIMA,inc death,HU,0.125
MUNI-ARIMA,inc death,IE,0.25
MUNI-ARIMA,inc death,IT,0.16666666666666666
MUNI-ARIMA,inc death,MT,0.5
MUNI-ARIMA,inc death,NL,0.2
MUNI-ARIMA,inc death,PL,0.1
MUNI-ARIMA,inc death,RO,0.5
PL_GRedlarski-DistrictsSum,inc case,PL,0.09090909090909091
RobertWalraven-ESG,inc case,CZ,0.125
RobertWalraven-ESG,inc case,DE,0.14285714285714285
RobertWalraven-ESG,inc case,HU,0.16666666666666666
RobertWalraven-ESG,inc case,SK,0.14285714285714285
RobertWalraven-ESG,inc death,AT,0.3333333333333333
RobertWalraven-ESG,inc death,BE,0.14285714285714285
RobertWalraven-ESG,inc death,BG,0.16666666666666666
RobertWalraven-ESG,inc death,CH,0.3333333333333333
RobertWalraven-ESG,inc death,CZ,0.1111111111111111
RobertWalraven-ESG,inc death,EE,0.25
RobertWalraven-ESG,inc death,ES,0.2
RobertWalraven-ESG,inc death,FI,1
RobertWalraven-ESG,inc death,FR,1
RobertWalraven-ESG,inc death,GB,0.1111111111111111
RobertWalraven-ESG,inc death,GR,0.3333333333333333
RobertWalraven-ESG,inc death,HR,0.2
RobertWalraven-ESG,inc death,HU,0.125
RobertWalraven-ESG,inc death,IE,0.25
RobertWalraven-ESG,inc death,IT,0.16666666666666666
RobertWalraven-ESG,inc death,LI,0.3333333333333333
RobertWalraven-ESG,inc death,MT,0.5
RobertWalraven-ESG,inc death,NL,0.2
RobertWalraven-ESG,inc death,PL,0.1
RobertWalraven-ESG,inc death,PT,0.16666666666666666
RobertWalraven-ESG,inc death,SE,0.3333333333333333
RobertWalraven-ESG,inc death,SI,0.3333333333333333
RobertWalraven-ESG,inc death,SK,0.2
UNIPV-BayesINGARCHX,inc case,DE,0.14285714285714285
USC-SIkJalpha,inc case,BG,0.16666666666666666
USC-SIkJalpha,inc case,CZ,0.125
USC-SIkJalpha,inc case,HU,0.16666666666666666
USC-SIkJalpha,inc case,PL,0.09090909090909091
USC-SIkJalpha,inc case,RO,0.2
USC-SIkJalpha,inc death,BE,0.14285714285714285
USC-SIkJalpha,inc death,BG,0.16666666666666666
USC-SIkJalpha,inc death,CH,0.3333333333333333
USC-SIkJalpha,inc death,CZ,0.1111111111111111
USC-SIkJalpha,inc death,DE,0.2
USC-SIkJalpha,inc death,ES,0.2
USC-SIkJalpha,inc death,GB,0.1111111111111111
USC-SIkJalpha,inc death,HR,0.2
