model,target_variable,location,weight
epiforecasts-EpiExpert,inc case,DE,0.25
epiforecasts-EpiExpert,inc case,GB,0.2
epiforecasts-EpiExpert,inc case,PL,0.125
epiforecasts-EpiExpert,inc death,DE,1
epiforecasts-EpiExpert,inc death,GB,0.1111111111111111
epiforecasts-EpiExpert,inc death,PL,0.1111111111111111
epiforecasts-EpiNow2,inc case,AT,0.3333333333333333
epiforecasts-EpiNow2,inc case,BG,0.5
epiforecasts-EpiNow2,inc case,CZ,0.2
epiforecasts-EpiNow2,inc case,EE,0.5
epiforecasts-EpiNow2,inc case,GB,0.2
epiforecasts-EpiNow2,inc case,HU,0.25
epiforecasts-EpiNow2,inc case,IT,0.3333333333333333
epiforecasts-EpiNow2,inc case,PL,0.125
epiforecasts-EpiNow2,inc case,RO,0.5
epiforecasts-EpiNow2,inc case,SK,0.25
epiforecasts-EpiNow2,inc death,AT,0.25
epiforecasts-EpiNow2,inc death,FI,0.2
epiforecasts-EpiNow2,inc death,GB,0.1111111111111111
epiforecasts-EpiNow2,inc death,GR,0.2
epiforecasts-EpiNow2,inc death,IT,0.14285714285714285
epiforecasts-EpiNow2,inc death,LI,0.2
epiforecasts-EpiNow2,inc death,PL,0.1111111111111111
epiforecasts-EpiNow2,inc death,PT,0.14285714285714285
epiforecasts-EpiNow2,inc death,RO,0.2
epiforecasts-EpiNow2,inc death,SK,0.2
ICM-agentModel,inc case,PL,0.125
IEM_Health-CovidProject,inc case,GB,0.2
IEM_Health-CovidProject,inc case,PT,0.25
IEM_Health-CovidProject,inc death,CZ,0.125
IEM_Health-CovidProject,inc death,ES,0.5
IEM_Health-CovidProject,inc death,GB,0.1111111111111111
IEM_Health-CovidProject,inc death,PT,0.14285714285714285
ILM-EKF,inc case,CZ,0.2
ILM-EKF,inc case,PL,0.125
ILM-EKF,inc case,PT,0.25
ILM-EKF,inc case,SK,0.25
ILM-EKF,inc death,BG,0.25
ILM-EKF,inc death,CZ,0.125
ILM-EKF,inc death,GB,0.1111111111111111
ILM-EKF,inc death,HU,0.2
ILM-EKF,inc death,IT,0.14285714285714285
ILM-EKF,inc death,PL,0.1111111111111111
ILM-EKF,inc death,PT,0.14285714285714285
ILM-EKF,inc death,RO,0.2
ILM-EKF,inc death,SK,0.2
MIMUW-StochSEIR,inc death,PL,0.1111111111111111
MIT_CovidAnalytics-DELPHI,inc case,DE,0.25
MIT_CovidAnalytics-DELPHI,inc death,PL,0.1111111111111111
MOCOS-agent1,inc case,PL,0.125
MOCOS-agent1,inc death,PL,0.1111111111111111
MUNI_DMS-SEIAR,inc case,CZ,0.2
MUNI_DMS-SEIAR,inc death,CZ,0.125
MUNI-ARIMA,inc case,AT,0.3333333333333333
MUNI-ARIMA,inc case,CZ,0.2
MUNI-ARIMA,inc case,DE,0.25
MUNI-ARIMA,inc case,GB,0.2
MUNI-ARIMA,inc case,HR,0.3333333333333333
MUNI-ARIMA,inc case,HU,0.25
MUNI-ARIMA,inc case,IT,0.3333333333333333
MUNI-ARIMA,inc case,LI,0.5
MUNI-ARIMA,inc case,NL,1
MUNI-ARIMA,inc case,PL,0.125
MUNI-ARIMA,inc case,RO,0.5
MUNI-ARIMA,inc case,SK,0.25
MUNI-ARIMA,inc death,BE,0.2
MUNI-ARIMA,inc death,CZ,0.125
MUNI-ARIMA,inc death,GB,0.1111111111111111
MUNI-ARIMA,inc death,GR,0.2
MUNI-ARIMA,inc death,IT,0.14285714285714285
MUNI-ARIMA,inc death,LI,0.2
MUNI-ARIMA,inc death,LV,1
PL_GRedlarski-DistrictsSum,inc case,PL,0.125
RobertWalraven-ESG,inc case,BE,0.5
RobertWalraven-ESG,inc case,CY,1
RobertWalraven-ESG,inc case,CZ,0.2
RobertWalraven-ESG,inc case,DE,0.25
RobertWalraven-ESG,inc case,DK,1
RobertWalraven-ESG,inc case,FR,0.5
RobertWalraven-ESG,inc case,GR,1
RobertWalraven-ESG,inc case,HR,0.3333333333333333
RobertWalraven-ESG,inc case,HU,0.25
RobertWalraven-ESG,inc case,IS,1
RobertWalraven-ESG,inc case,LI,0.5
RobertWalraven-ESG,inc case,PL,0.125
RobertWalraven-ESG,inc case,SK,0.25
RobertWalraven-ESG,inc death,AT,0.25
RobertWalraven-ESG,inc death,BE,0.2
RobertWalraven-ESG,inc death,BG,0.25
RobertWalraven-ESG,inc death,CH,0.5
RobertWalraven-ESG,inc death,CZ,0.125
RobertWalraven-ESG,inc death,EE,0.25
RobertWalraven-ESG,inc death,ES,0.5
RobertWalraven-ESG,inc death,FI,0.2
RobertWalraven-ESG,inc death,FR,0.5
RobertWalraven-ESG,inc death,GB,0.1111111111111111
RobertWalraven-ESG,inc death,GR,0.2
RobertWalraven-ESG,inc death,HU,0.2
RobertWalraven-ESG,inc death,IE,0.3333333333333333
RobertWalraven-ESG,inc death,IT,0.14285714285714285
RobertWalraven-ESG,inc death,LI,0.2
RobertWalraven-ESG,inc death,NL,1
RobertWalraven-ESG,inc death,PT,0.14285714285714285
RobertWalraven-ESG,inc death,SE,1
UMass-MechBayes,inc death,AT,0.25
UMass-MechBayes,inc death,BE,0.2
UMass-MechBayes,inc death,BG,0.25
UMass-MechBayes,inc death,CZ,0.125
UMass-MechBayes,inc death,DK,1
UMass-MechBayes,inc death,EE,0.25
UMass-MechBayes,inc death,FI,0.2
UMass-MechBayes,inc death,GB,0.1111111111111111
UMass-MechBayes,inc death,GR,0.2
UMass-MechBayes,inc death,HU,0.2
UMass-MechBayes,inc death,IE,0.3333333333333333
UMass-MechBayes,inc death,IT,0.14285714285714285
UMass-MechBayes,inc death,LI,0.2
UMass-MechBayes,inc death,PL,0.1111111111111111
UMass-MechBayes,inc death,PT,0.14285714285714285
UMass-MechBayes,inc death,RO,0.2
UMass-MechBayes,inc death,SI,0.5
UMass-MechBayes,inc death,SK,0.2
UMass-SemiMech,inc case,AT,0.3333333333333333
UMass-SemiMech,inc case,EE,0.5
UMass-SemiMech,inc case,HR,0.3333333333333333
UMass-SemiMech,inc case,IT,0.3333333333333333
UMass-SemiMech,inc case,MT,1
UMass-SemiMech,inc case,PT,0.25
UMass-SemiMech,inc death,AT,0.25
UMass-SemiMech,inc death,BE,0.2
UMass-SemiMech,inc death,CZ,0.125
UMass-SemiMech,inc death,EE,0.25
UMass-SemiMech,inc death,FI,0.2
UMass-SemiMech,inc death,GB,0.1111111111111111
UMass-SemiMech,inc death,GR,0.2
UMass-SemiMech,inc death,HR,1
UMass-SemiMech,inc death,HU,0.2
